,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,10.3306,,,,,,,,,,,,,,,,,,,,44.6429,19.0,16.0,84.211,1.0,6.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,15.0,13.0,86.667,1.0,5.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,605.0,,,,,,51.7857,15.0,13.0,86.667,1.0,6.0,75.0,
13,2013,14.0496,,,,,,,,,,,,,8.7719,650.0,,,,,,51.7857,14.0,12.0,85.714,1.0,8.0,75.0,
14,2014,14.0496,,,,,,,,,,,,,8.7719,520.0,,,,,,51.7857,13.0,11.0,84.615,1.0,5.0,75.0,
15,2015,14.0496,,,,,,,,,,,,,8.7719,564.0,,,,,,51.7857,13.0,11.0,84.615,1.0,5.0,75.0,
16,2016,14.0496,,,,,,,,,,,,,8.7719,553.0,,,,,,51.7857,14.0,12.0,85.714,1.0,13.0,75.0,
17,2017,14.0496,,,,,,,,,,,,,8.7719,889.0,,,,,,51.7857,14.0,13.0,92.857,1.0,6.0,75.0,
18,2018,14.0496,,,,,,,,,,,,,8.7719,842.0,,,,,,51.7857,13.0,12.0,92.308,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,823.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
