,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,23.1405,2.3256,,,,,,,,,,,,36.8421,29000.0,38.0,,,,,57.1429,12.0,9.0,75.0,1.0,7.0,75.0,
8,2008,21.0744,4.6512,,,,,,,,,,,,22.807,30000.0,,,,,,57.1429,10.0,8.0,80.0,1.0,7.0,75.0,
9,2009,26.0331,11.6279,,,,,,,,,,,,28.0702,29000.0,,,,,,57.1429,9.0,7.0,77.778,1.0,6.0,75.0,
10,2010,28.5124,13.9535,,,,,,,,,,,,28.0702,31000.0,,,,,,62.5,10.0,9.0,90.0,1.0,6.0,74.5,
11,2011,27.2727,13.9535,,,,,,,,,,,,28.0702,34000.0,,,,,,57.1429,10.0,9.0,90.0,1.0,4.0,75.0,
12,2012,30.9917,23.2558,,,,66.296,,,,,,,,28.0702,37000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
13,2013,40.9091,34.8837,,,,55.327,,177.654,,,,0.0,0.0,33.3333,44000.0,,,,,,62.5,10.0,9.0,90.0,1.0,4.0,75.0,0.0
14,2014,43.3884,32.5581,,,,65.259,,206.68,,,,0.0,0.0,49.1228,52000.0,35.0,,,0.0,,62.5,10.0,9.0,90.0,1.0,4.0,75.0,0.0
15,2015,43.3884,32.5581,,,,69.087,,212.618,,,,0.0,0.0,49.1228,70000.0,30.7,,,0.0,9.659,62.5,11.0,10.0,90.909,1.0,5.0,75.0,0.0
16,2016,47.9339,38.7597,,,,93.092,,339.931,,,,0.0,0.0,54.386,75000.0,33.63,,,1.0,9.295,62.5,10.0,9.0,90.0,1.0,6.0,80.0,0.0
17,2017,49.5868,37.9845,,,,71.067,,258.42,,,,0.0,0.0,57.8947,80000.0,33.63,,,0.0,10.875,67.8571,12.0,11.0,91.667,1.0,4.0,80.0,0.0
18,2018,47.9339,32.5581,,,,70.508,,260.766,,,,,,63.1579,90000.0,33.7,25.0,,0.0,9.884,67.8571,11.0,10.0,90.909,1.0,6.0,90.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
