,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,28.9256,21.7054,,,,,180.922,,18967.4,,740.493,,0.016,8.7719,74700.0,,,,,1.6,66.0714,13.0,8.0,61.539,1.0,9.0,75.0,0.3
7,2007,35.124,31.7829,,,,9940.27,197.166,,20315.301,,751.748,,0.019,12.2807,81200.0,,,,,1.4,66.0714,14.0,9.0,64.286,1.0,9.0,75.0,0.1
8,2008,46.281,50.3876,,,,10298.3,206.607,36303.801,21178.801,15.212,517.067,0.0,0.005,17.5439,85900.0,,,,,1.5,66.0714,14.0,9.0,64.286,1.0,9.0,75.0,0.1
9,2009,48.7603,52.7132,,,,10317.2,206.988,36321.102,22127.9,19.091,447.319,4.0,0.049,28.0702,84800.0,,,,,1.0,60.7143,14.0,10.0,71.429,1.0,9.0,75.0,
10,2010,51.2397,49.6124,,,,10748.6,215.719,37868.199,23626.1,25.463,489.075,0.0,0.0,43.8596,89200.0,74.93,,2198.0,,0.9,62.5,14.0,9.0,64.286,1.0,9.0,75.0,
11,2011,51.2397,49.6124,,,,11003.1,220.624,38755.0,25003.0,32.944,493.927,1.0,0.001,43.8596,91300.0,24.64,,2091.0,,,62.5,14.0,9.0,64.286,1.0,9.0,75.0,
12,2012,51.2397,51.938,,,,10877.4,218.035,38226.398,24919.699,27.223,469.99,1.0,0.068,43.8596,89700.0,23.415,,2353.0,,,57.1429,14.0,9.0,64.286,1.0,8.0,75.0,
13,2013,54.5455,51.938,,,,10617.4,212.287,37224.301,25172.9,35.981,498.19,5.0,0.096,49.1228,92700.0,24.54,,2434.0,,1.5,66.0714,11.0,7.0,63.636,1.0,6.0,75.0,
14,2014,53.3058,51.938,,,,10385.7,207.621,36450.301,25632.6,21.657,477.57,3.0,0.063,43.8596,94100.0,22.97,,2476.0,,,66.0714,9.0,7.0,77.778,1.0,6.0,75.0,
15,2015,52.8926,51.1628,,,,10374.9,206.778,73833.602,25592.0,27.904,486.451,0.0,0.036,43.8596,94600.0,22.09,,2383.0,,,66.0714,9.0,7.0,77.778,1.0,6.0,75.0,
16,2016,54.5455,51.938,,,,10539.0,253.532,75056.797,26566.5,127.105,354.156,0.0,0.277,49.1228,97200.0,21.82,,2464.0,,5.5,66.0714,10.0,8.0,80.0,1.0,7.0,75.0,
17,2017,54.5455,51.938,,,,10687.6,257.665,76664.797,26816.0,137.957,357.767,0.0,40.317,49.1228,99200.0,22.57,,2971.0,,14.9,66.0714,11.0,9.0,81.818,1.0,7.0,75.0,
18,2018,52.0661,47.2868,,,,10697.6,258.41,76923.703,27315.0,144.236,378.142,,,49.1228,102000.0,22.912,,3365.0,,4.3,66.0714,11.0,9.0,81.818,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,106000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
