,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,4.1322,,,,,,,,,,,,,,,,,,,,17.8571,3.0,,,,,,
11,2011,4.1322,,,,,,,,,,,,,,,,,,,,17.8571,3.0,,,,,,
12,2012,4.1322,,,,,,,,,,,,,,,,,,,,17.8571,3.0,,,,,,
13,2013,9.9174,,,,,,,,,,,,,,,,,,,,42.8571,9.0,8.0,88.89,3.0,6.0,,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,10.0,9.0,90.0,3.0,5.0,75.0,
15,2015,14.0496,,,,,,,,,,,,,8.7719,8465.0,,,,,,51.7857,13.0,12.0,92.308,3.0,5.0,75.0,
16,2016,14.0496,,,,,,,,,,,,,8.7719,8516.0,,,,,,51.7857,11.0,10.0,90.909,3.0,4.0,75.0,
17,2017,21.4876,9.3023,,,,,,,,,,,,19.2982,8726.0,,,,,,51.7857,11.0,10.0,90.909,3.0,4.0,75.0,
18,2018,20.2479,9.3023,,,,,,,,,,,,19.2982,9019.0,,,,,,46.4286,11.0,10.0,90.909,,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
