,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,21.0744,17.8295,,,,6000.0,,24166.7,,,,,,14.0351,8900.0,,,,,,35.7143,12.0,,,,7.0,75.0,
7,2007,21.0744,13.1783,,,,5500.0,,,,,,,,14.0351,8400.0,,,,,,46.4286,10.0,7.0,70.0,,8.0,75.0,
8,2008,21.0744,11.6279,,,,,,15444.4,,,,,,17.5439,8350.0,,,,,,46.4286,9.0,8.0,88.889,,6.0,75.0,
9,2009,21.9008,12.4031,,,,,,,,,,,,14.0351,7400.0,,,,,,51.7857,9.0,8.0,88.89,3.0,8.0,75.0,
10,2010,24.3802,10.8527,,,,,,,,,,,,24.5614,7250.0,,,,,,55.3571,9.0,8.0,88.889,3.0,7.0,75.0,
11,2011,26.4463,12.4031,,,,,,,,,,,,29.8246,7600.0,,,,,,55.3571,9.0,8.0,88.889,3.0,8.0,75.0,
12,2012,26.8595,10.8527,,,,,,,,,,,,35.0877,7550.0,,,35.0,,,55.3571,9.0,8.0,88.889,3.0,7.0,75.0,
13,2013,28.0992,13.1783,,,,,,,,,,,,35.0877,7430.0,,,13.0,,,55.3571,9.0,8.0,88.889,3.0,6.0,75.0,
14,2014,28.9256,13.1783,,,,,,,,,,,,35.0877,7468.0,,,18.0,,,58.9286,9.0,8.0,88.889,3.0,6.0,75.0,
15,2015,28.9256,15.5039,,,,,,,,,,,,29.8246,7081.0,,,,,,58.9286,9.0,8.0,88.889,3.0,6.0,75.0,
16,2016,52.0661,50.3876,,,,3313.6,,15128.8,,48.5,110.6,,,49.1228,7293.0,22.0,,13.0,0.0,,58.9286,9.0,8.0,88.889,3.0,8.0,75.0,
17,2017,50.8264,48.062,,,,2847.6,,14131.7,,50.4,117.9,,,49.1228,7731.0,23.0,,29.0,0.0,,58.9286,9.0,8.0,88.889,3.0,7.0,75.0,
18,2018,50.8264,48.062,,,,2827.4,,14349.4,,51.9,123.3,,,49.1228,7671.0,23.0,,17.0,0.0,,58.9286,9.0,8.0,88.889,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,7714.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
