,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,1.5504,,,,,,,,,,,,8.7719,1400.0,,,,,,51.7857,8.0,5.0,62.5,3.0,7.0,75.0,
8,2008,13.6364,1.5504,,,,,,,,,,,,3.5088,1500.0,,,,,,51.7857,8.0,5.0,62.5,3.0,7.0,75.0,
9,2009,,,,,,,,,,,,,,,1500.0,,,,,,,8.0,5.0,62.5,3.0,21.0,75.0,
10,2010,15.2893,3.1008,14421.0,,,,,,,,,,,3.5088,2400.0,,,,,,55.3571,9.0,6.0,66.667,3.0,13.0,75.0,
11,2011,16.9421,3.1008,14428.0,,,,,,,,,,,14.0351,2400.0,,,57.0,,,51.7857,10.0,7.0,70.0,3.0,6.0,75.0,
12,2012,22.7273,9.3023,14748.0,,,,,,,,,,,24.5614,2600.0,,,39.0,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
13,2013,23.5537,6.2016,,,,,,,,,,,,29.8246,2900.0,,,36.0,,0.809,57.1429,8.0,7.0,87.5,3.0,7.0,75.0,0.062
14,2014,23.5537,6.2016,,,,,,,,,,,,29.8246,2300.0,,,29.0,,1.383,57.1429,9.0,8.0,88.889,1.0,13.0,75.0,0.0
15,2015,23.5537,6.2016,,,,,,,,,,,,29.8246,2900.0,,,25.0,,0.43,57.1429,10.0,9.0,90.0,1.0,10.0,100.0,0.0
16,2016,24.7934,4.6512,,,,,,,,,,,,38.5965,3000.0,,,32.0,,1.077,57.1429,10.0,9.0,90.0,1.0,9.0,98.88,0.0
17,2017,48.3471,37.2093,12855.6,,,18481.1,9.995,106788.0,,0.55,49.8,,,52.6316,3000.0,14.0,,17.0,0.0,1.08,69.6429,12.0,11.0,91.667,1.0,6.0,100.0,0.0
18,2018,46.281,35.6589,11900.0,,,17596.4,9.684,101839.0,,0.96,48.39,,,47.3684,3036.0,13.8,,18.0,0.0,1.056,69.6429,12.0,11.0,91.667,1.0,7.0,100.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
