,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2014,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,11.0,91.667,1.0,16.0,74.0,
15,2015,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,17700.0,,,,,,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
16,2016,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,17600.0,,,,,,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
17,2017,22.3684,4.4643,,,,,,,,,,,,25.0,17600.0,,,,,,55.3571,12.0,11.0,91.667,1.0,10.0,75.0,
18,2018,22.3684,4.4643,,,,,,,,,,,,25.0,18100.0,,,,,,55.3571,12.0,11.0,91.667,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,18000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
