,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,33.4711,31.0078,,,,194.152,,532.222,1667.62,0.493,13.637,11.0,0.004,15.7895,2617.0,,,,,,57.1429,10.0,9.0,90.0,3.0,10.0,75.0,
9,2009,36.7769,34.1085,,,,201.598,,553.056,1603.33,0.576,23.451,5.0,0.007,17.5439,3700.0,,,,,2.0,62.5,10.0,9.0,90.0,3.0,9.0,75.0,
10,2010,33.8843,31.0078,,,,189.576,,408.161,1502.64,0.643,33.793,5.0,0.0,17.5439,3543.0,,,,,1.07,57.1429,10.0,9.0,90.0,3.0,14.0,75.0,
11,2011,33.8843,31.0078,,,,180.767,,404.711,1571.02,0.499,29.393,2.0,0.002,17.5439,3500.0,,,,,3.6,57.1429,10.0,9.0,90.0,3.0,10.0,75.0,
12,2012,33.4711,30.2326,,,,180.645,,397.382,1722.44,0.721,31.579,16.0,0.047,17.5439,4400.0,,,,,4.4,57.1429,10.0,9.0,90.0,3.0,8.0,75.0,
13,2013,34.7107,30.2326,,,,210.892,,444.547,1733.8,1.023,41.106,3.0,0.0,22.807,4200.0,,,,,5.0,57.1429,9.0,8.0,88.889,3.0,4.0,75.0,
14,2014,35.5372,31.7829,,,,214.534,,453.056,1651.64,0.73,41.26,,0.0,22.807,4200.0,41.3,,,,,57.1429,9.0,8.0,88.889,3.0,8.0,75.0,
15,2015,37.1901,34.8837,,,,207.741,,472.778,1825.14,0.752,60.854,,0.0,22.807,4408.0,40.3,,,,,57.1429,9.0,8.0,88.889,3.0,6.0,75.0,
16,2016,38.0165,36.4341,,,,192.318,,492.778,2078.82,0.746,60.617,,0.02,22.807,4485.0,39.0,,,0.0,,57.1429,10.0,8.0,80.0,3.0,5.0,75.0,
17,2017,40.0826,36.4341,,,,189.973,,487.222,2161.57,0.828,60.695,,0.0,28.0702,4707.0,40.0,,,0.0,,60.7143,10.0,8.0,80.0,3.0,5.0,75.0,
18,2018,41.3223,38.7597,,,,168.232,,479.167,2116.14,0.746,60.62,,0.023,28.0702,4727.0,41.0,,,0.0,,60.7143,10.0,8.0,80.0,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,4800.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
