,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,15.2893,,,,,,,,,,,,,14.0351,16600.0,,,,,,51.7857,11.0,6.0,54.55,1.0,11.0,75.0,
11,2011,15.2893,,,,,,,,,,,,,14.0351,16800.0,,,,,,51.7857,11.0,5.0,45.454,1.0,12.0,81.0,
12,2012,,,,,,,,,,,,,,,17800.0,,,,,,,11.0,6.0,54.546,1.0,6.0,90.0,
13,2013,,,,,,,,,,,,,,,21600.0,,,,,,,10.0,9.0,90.0,1.0,14.0,72.0,
14,2014,17.3554,,,,,,,,,,,,,22.807,23200.0,,,,,,51.7857,10.0,9.0,90.0,1.0,11.0,74.8,
15,2015,17.3554,,,,,,,,,,,,,22.807,23800.0,,,,,,51.7857,10.0,9.0,90.0,1.0,11.0,74.2,
16,2016,18.1818,1.5504,,,,,,,,,,,,22.807,91500.0,,,,,,51.7857,13.0,12.0,92.308,1.0,5.0,75.0,
17,2017,16.9421,1.5504,,,,,,,,,,,,17.5439,94800.0,,,,,,51.7857,13.0,12.0,92.308,1.0,7.0,75.0,
18,2018,16.9421,1.5504,,,,,,,,,,,,17.5439,98000.0,,,,,,51.7857,13.0,12.0,92.308,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
