,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,16.1157,4.6512,,,,43.711,,,,,,,,3.5088,26600.0,,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,94.75,
8,2008,17.3554,6.9767,,,,60.81,,,,,,,,3.5088,30300.0,,,,,,55.3571,12.0,11.0,91.667,3.0,12.0,97.0,
9,2009,13.6364,,,,,,,,,,,,,3.5088,29300.0,,,,,,55.3571,11.0,10.0,90.909,3.0,15.0,80.0,
10,2010,24.3802,13.1783,,,,97.542,,,,,,,,14.0351,30600.0,,,,,,60.7143,11.0,10.0,90.909,3.0,8.0,94.0,0.816
11,2011,23.1405,13.1783,,,,90.253,,,,,,,,14.0351,31400.0,,,,,,55.3571,12.0,11.0,91.667,3.0,10.0,80.0,
12,2012,26.8595,17.8295,,,,87.895,,203.373,,,,,,19.2982,35800.0,72.1,,,,,55.3571,11.0,10.0,90.909,3.0,9.0,96.0,
13,2013,33.4711,24.8062,,,,85.42,,214.343,,,,,,26.3158,36500.0,71.5,,,,,60.7143,11.0,10.0,90.909,3.0,7.0,94.0,
14,2014,38.4298,24.8062,,,,90.625,,228.974,,,,,,42.1053,37200.0,70.6,,,,4.938,66.0714,12.0,11.0,91.667,3.0,7.0,96.5,0.245
15,2015,40.9091,27.1318,,,,84.223,,235.14,,,,,,47.3684,39300.0,70.3,,,,12.715,66.0714,11.0,10.0,90.909,1.0,25.0,95.0,0.35
16,2016,41.3223,27.1318,,,,76.414,,220.582,,,,,,43.8596,41011.0,71.7,,,,13.55,71.4286,11.0,10.0,90.909,1.0,8.0,94.0,0.3
17,2017,41.3223,27.1318,,,,64.948,,184.794,,,,,,43.8596,43367.0,71.5,,,0.0,6.7780000000000005,71.4286,10.0,9.0,90.0,1.0,11.0,93.0,0.3
18,2018,47.9339,27.1318,,,,69.953,,207.152,,,,,,68.4211,45288.0,73.0,35.0,,,8.044,75.0,13.0,12.0,92.308,1.0,11.0,97.0,0.3
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
