,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,1.7856999999999998,,,,,,,,,,,,3.3333,4087.0,,,,,,48.2143,13.0,9.0,69.23,3.0,7.0,80.0,
8,2008,13.5965,1.7856999999999998,,,,,,,,,,,,3.3333,4179.0,,,,,,48.2143,13.0,8.0,61.539,3.0,6.0,85.0,
9,2009,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,4170.0,,,,,,51.7857,14.0,8.0,57.142,3.0,5.0,100.0,
10,2010,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,4060.0,,,,,,51.7857,13.0,9.0,69.231,3.0,4.0,100.0,
11,2011,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,4067.0,,,,,,51.7857,14.0,9.0,64.286,1.0,5.0,92.0,
12,2012,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,4057.0,,,,,,51.7857,15.0,10.0,66.667,1.0,4.0,100.0,
13,2013,18.4211,9.8214,,,,,,,,,,,,3.3333,4163.0,,,,,,51.7857,16.0,11.0,68.75,1.0,4.0,92.0,
14,2014,19.7368,9.8214,,,,,,,,,,,,8.3333,4305.0,,,,,,51.7857,15.0,10.0,66.667,1.0,5.0,91.0,
15,2015,20.614,9.8214,,,,,,,,,,,,8.3333,4493.0,,,,,,55.3571,15.0,10.0,66.667,1.0,4.0,100.0,
16,2016,20.614,9.8214,,,,,,,,,,,,8.3333,4754.0,,,,,,55.3571,15.0,10.0,66.667,1.0,5.0,92.0,
17,2017,21.0526,10.7143,,,,,,,,,,,,8.3333,4925.0,,,,,,55.3571,14.0,10.0,71.429,1.0,4.0,100.0,
18,2018,23.2456,13.392900000000001,,,,,,,,,,,,11.6667,4999.0,,,,,,55.3571,14.0,10.0,71.429,1.0,7.0,93.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
