,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,20.2479,6.9767,,679.0,,,,,,,,1.0,0.0,19.2982,35800.0,34.0,,,,7.329,51.7857,9.0,8.0,88.889,1.0,11.0,97.0,
6,2006,23.9669,13.9535,,,,671.522,,2130.0,,,,2.0,0.0,19.2982,34700.0,36.1,,,,7.059,51.7857,8.0,7.0,87.5,1.0,8.0,97.0,
7,2007,23.1405,13.9535,,,,654.98,,2120.0,,,,2.0,0.026,19.2982,36000.0,37.0,,,,8.307,48.2143,10.0,8.0,80.0,1.0,11.0,97.0,
8,2008,26.4463,18.6047,,673.0,0.327,701.591,,2060.0,,,,2.0,0.009,19.2982,36600.0,38.9,,,,9.678,51.7857,9.0,8.0,88.889,1.0,10.0,98.0,
9,2009,54.5455,54.2636,260.906,694.1,0.351,694.103,,1980.0,7996.15,,,7.0,0.001,43.8596,33553.0,40.7,,,1.0,47.275,66.0714,11.0,10.0,90.909,1.0,10.0,95.0,0.0
10,2010,38.4298,26.3566,,665.0,,,,,7900.0,,,2.0,0.0,38.5965,39200.0,40.7,,,,39.659,66.0714,10.0,9.0,90.0,1.0,9.0,97.0,0.0
11,2011,63.6364,67.4419,234.3,661.44,0.333,665.72,,1986.74,8518.8,2.5,129.04,5.0,0.041,52.6316,38600.0,39.37,,198.0,0.0,37.65,66.0714,9.0,8.0,88.889,1.0,9.0,98.0,0.0
12,2012,69.8347,76.7442,225.37,659.07,0.335,666.94,0.25,1965.42,8665.06,1.75,128.07,5.0,0.001,57.8947,37700.0,39.0,,166.0,0.0,64.0,66.0714,10.0,9.0,90.0,1.0,10.0,97.0,0.0
13,2013,72.314,81.3953,225.83,663.39,0.335,671.05,0.25,1979.52,8775.46,1.27,142.76,1.0,0.039,57.8947,37400.0,39.0,,163.0,0.0,33.96,66.0714,10.0,9.0,90.0,1.0,8.0,99.0,0.0
14,2014,66.1157,75.969,210.13,631.75,0.333,640.3,0.25,1899.35,9164.37,0.98,151.53,7.0,0.004,43.8596,37700.0,38.0,,,0.0,28.96,66.0714,10.0,9.0,90.0,1.0,9.0,98.0,0.0
15,2015,64.0496,72.093,204.26,603.45,0.324,622.31,0.24,1862.0,9168.84,1.06,148.26,2.0,0.003,43.8596,37900.0,37.0,,,1.0,28.28,66.0714,11.0,10.0,90.909,1.0,9.0,96.0,0.0
16,2016,59.0909,51.938,,,,527.0,,1847.0,,1.0,157.0,7.0,0.002,59.6491,36700.0,37.0,,132.0,0.0,30.2,75.0,10.0,9.0,90.0,1.0,8.0,96.0,0.0
17,2017,61.5702,56.5891,194.443,,,617.31,,1828.0,,1.0,144.0,8.0,0.0,59.6491,35900.0,38.0,,124.0,1.0,32.7,75.0,10.0,9.0,90.0,1.0,8.0,98.0,0.0
18,2018,,,,,,,,1799.0,,1.0,146.0,5.0,0.017,,34500.0,37.2,29.81,97.0,0.0,37.8,,10.0,9.0,90.0,1.0,7.0,97.0,
19,2019,,,,,,,,,,,,,,,34300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
