,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,45.0413,44.9612,70.42,,,385.52,,795.0,3882.56,,12.874,,,29.8246,7900.0,,,,0.0,5.9,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
8,2008,46.6942,44.9612,71.32,,,383.82,,799.0,3626.58,,11.758,,,40.3509,8300.0,,,80.0,0.0,,57.1429,11.0,10.0,90.909,1.0,8.0,75.0,
9,2009,47.9339,44.9612,71.48,,,365.92,,764.0,3611.51,,11.988,,,45.614,8200.0,,,67.0,0.0,9.6,57.1429,11.0,10.0,90.909,1.0,7.0,75.0,
10,2010,52.8926,44.9612,67.68,,,354.12,,743.0,3351.4,,11.074,,,50.8772,8000.0,,,83.0,1.0,10.6,73.2143,11.0,10.0,90.909,1.0,7.0,75.0,
11,2011,51.2397,46.5116,74.52,,,357.15,,769.0,3410.77,,9.152,,,45.614,8100.0,,,62.0,0.0,,67.8571,11.0,10.0,90.909,1.0,9.0,75.0,
12,2012,45.0413,39.5349,,,,328.0,,712.0,3145.82,,,,,35.0877,8422.0,,,,0.0,,67.8571,10.0,9.0,90.0,1.0,10.0,75.0,
13,2013,45.4545,41.0853,,,,316.0,,701.0,2994.4,,,,,29.8246,8400.0,,,,0.0,,71.4286,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,47.1074,44.186,,,,329.0,,1020.0,3164.75,,,,,29.8246,8200.0,,,,0.0,,71.4286,11.0,10.0,90.909,1.0,7.0,75.0,
15,2015,50.8264,44.186,,,,299.0,,687.0,3107.96,,,,,50.8772,7700.0,48.0,,,0.0,8.2,66.0714,10.0,9.0,90.0,1.0,7.0,75.0,
16,2016,52.0661,42.6357,,,,303.0,,710.0,2986.83,,,,,54.386,8000.0,49.0,,,,9.4,71.4286,11.0,10.0,90.909,1.0,8.0,75.0,
17,2017,50.8264,40.3101,,,,274.0,,711.0,3005.75,,,,,54.386,8100.0,50.0,,,,6.5,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,0.059
18,2018,50.4132,39.5349,,,,272.0,,722.0,3096.61,,,,,54.386,8700.0,35.0,,,,15.073,71.4286,12.0,11.0,91.667,1.0,7.0,75.0,0.084
19,2019,,,,,,,,,,,,,,,8800.0,51.0,,,,7.4,,12.0,11.0,91.667,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
