,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,26.3158,25.8929,,,,62.029,,108.474,,,,,,3.3333,10226.0,,,,,,51.7857,13.0,11.0,84.615,3.0,6.0,75.0,
8,2008,50.8772,45.5357,,,,66.431,,160.949,542.278,,4.655,0.0,0.0,41.6667,10186.0,70.0,,165.0,,14.9,71.4286,15.0,13.0,86.667,3.0,8.0,75.0,0.31
9,2009,46.4912,44.6429,,,,64.702,,158.81,497.56,,4.264,,,36.6667,9330.0,69.0,,157.0,,12.6,60.7143,13.0,11.0,84.615,3.0,6.0,75.0,
10,2010,53.5088,50.8929,,,,63.921,,150.1,486.233,,3.525,0.0,0.0,46.6667,9001.0,69.0,,151.0,,9.3,66.0714,10.0,9.0,90.0,3.0,8.0,75.0,0.218
11,2011,46.4912,47.3214,,,,80.236,,154.674,478.939,0.092,3.496,,,31.6667,9397.0,,,,,8.9,60.7143,9.0,8.0,88.889,1.0,7.0,75.0,
12,2012,46.4912,41.9643,,,,72.99,,153.21,451.532,,4.961,,,41.6667,9313.0,68.0,,153.0,,9.1,60.7143,9.0,8.0,88.889,1.0,10.0,,
13,2013,45.1754,41.9643,,,,75.839,,149.742,412.123,,4.5969999999999995,,,36.6667,8564.0,68.0,,149.0,,8.4,60.7143,9.0,8.0,88.889,1.0,8.0,75.0,
14,2014,53.0702,50.8929,,8.494,0.045,73.2,,189.83,349.785,,4.225,,,50.0,8499.0,67.0,,,,8.8,60.7143,9.0,8.0,88.889,1.0,9.0,75.0,
15,2015,57.4561,57.1429,,7.623,0.053,68.603,,143.396,339.438,,4.082,0.0,0.0,50.0,8880.0,67.0,,,,8.8,66.0714,9.0,8.0,88.889,1.0,8.0,75.0,
16,2016,53.0702,48.2143,6.596,,,63.331,,96.96,356.216,,3.706,0.0,0.0,50.0,7960.0,68.0,,,,8.1,66.0714,11.0,10.0,90.909,1.0,13.0,75.0,
17,2017,49.5614,46.4286,5.883,,,58.121,,122.319,328.398,,3.533,,,40.0,7999.0,66.5,,,,8.0,66.0714,12.0,11.0,91.667,1.0,9.0,75.0,
18,2018,53.5088,49.1071,5.982,,,46.287,,114.822,327.001,,3.856,,,50.0,8051.0,66.0,,,,7.8,66.0714,12.0,10.0,83.333,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,7948.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
