,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,14.0496,,,,,,,,,,,,,8.7719,80000.0,,,,,,51.7857,12.0,8.0,66.667,1.0,8.0,75.0,
6,2006,14.0496,,,,,,,,,,,,,8.7719,90000.0,,,,,,51.7857,12.0,8.0,66.667,1.0,9.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,100000.0,,,,,,51.7857,13.0,9.0,69.231,1.0,8.0,75.0,
8,2008,27.2727,11.6279,,,,,,,,,,,,38.5965,100000.0,36.0,,,,365.3,51.7857,13.0,9.0,69.231,1.0,10.0,75.0,
9,2009,27.2727,11.6279,,,,,,,,,,,,38.5965,107000.0,34.9,,,,373.0,51.7857,13.0,9.0,69.231,1.0,10.0,75.0,
10,2010,28.0992,11.6279,,,,,,,,,,,,38.5965,102000.0,33.9,,,,368.2,55.3571,13.0,9.0,69.231,1.0,8.0,75.0,
11,2011,28.9256,11.6279,,,,,,,,,,,,38.5965,126000.0,35.0,,,,435.0,58.9286,11.0,8.0,72.727,1.0,9.0,75.0,
12,2012,30.9917,11.6279,,,,,,,,,,,,47.3684,129000.0,34.7,,,,400.0,58.9286,11.0,8.0,72.727,1.0,6.0,75.0,
13,2013,30.9917,9.3023,,,,,,,,,,,,52.6316,136000.0,34.6,,,,415.0,58.9286,11.0,9.0,81.818,1.0,7.0,74.67,
14,2014,30.9917,9.3023,,,,,,,,,,,,52.6316,139000.0,35.0,36.0,,,478.0,58.9286,12.0,9.0,75.0,1.0,12.0,75.0,
15,2015,29.7521,6.9767,,,,,,,,,,,,52.6316,153000.0,35.0,37.0,,,521.0,58.9286,11.0,9.0,81.818,1.0,9.0,75.0,
16,2016,29.3388,9.3023,,,,,,,,,,,,45.614,159000.0,35.0,37.0,,,500.1,58.9286,12.0,10.0,83.333,1.0,11.0,75.0,
17,2017,29.3388,9.3023,,,,,,,,,,,,40.3509,164000.0,35.0,,,,454.0,64.2857,10.0,8.0,80.0,1.0,12.0,75.0,6.461
18,2018,28.0992,11.6279,,,,,,,,,,,,29.8246,184000.0,35.0,,,,,64.2857,10.0,8.0,80.0,1.0,11.0,75.0,5.003
19,2019,,,,,,,,,,,,,,,190000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
