,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,1970.0,,,,,,51.7857,30.0,25.0,83.333,3.0,15.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,2300.0,,,,,,51.7857,33.0,30.0,90.909,3.0,15.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,2260.0,,,,,,51.7857,32.0,26.0,81.25,3.0,7.0,75.0,
10,2010,14.0496,2.3256,,,,,,,,,,,,3.5088,2570.0,,,,,,51.7857,33.0,27.0,81.818,3.0,7.0,75.0,
11,2011,14.0496,2.3256,,,,,,,,,,,,3.5088,2740.0,,,,,,51.7857,32.0,29.0,90.625,3.0,10.0,75.0,
12,2012,18.595,2.3256,,,,,,,,,,,,22.807,2600.0,,,,,5.4,51.7857,30.0,26.0,86.667,2.0,10.0,75.0,
13,2013,18.595,2.3256,,,,,,,,,,,,22.807,2730.0,,,,,3.0,51.7857,29.0,23.0,79.31,1.0,8.0,75.0,
14,2014,16.5289,2.3256,,,,,,,,,,,,14.0351,2680.0,,,,,,51.7857,24.0,18.0,75.0,1.0,8.0,75.0,
15,2015,17.7686,2.3256,,,,,,,,,,,,19.2982,2530.0,,,,,0.31,51.7857,24.0,20.0,83.333,1.0,8.0,75.0,
16,2016,17.7686,2.3256,,,,,,,,,,,,19.2982,2700.0,,,,,0.337,51.7857,23.0,20.0,86.956,1.0,9.0,75.0,
17,2017,17.7686,2.3256,,,,,,,,,,,,24.5614,2830.0,,,,,1.712,46.4286,20.0,17.0,85.0,1.0,7.0,,
18,2018,22.314,8.5271,,,,,,,,,,,,24.5614,4590.0,,,,,1.462,51.7857,21.0,19.0,90.476,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
