,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,40.4959,38.7597,,,,779.508,2.771,2266.29,7712.91,,158.449,,,28.0702,37800.0,,,,,2.9,57.1429,9.0,7.0,77.778,1.0,6.0,75.0,
7,2007,28.0992,28.6822,,,,825.469,2.857,2326.72,4987.64,,164.846,,,3.5088,37800.0,,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
8,2008,44.2149,47.2868,,,,856.3,3.084,2326.84,5375.53,0.198,156.817,,,19.2982,35000.0,,,,,,62.5,9.0,7.0,77.778,1.0,7.0,75.0,0.0
9,2009,38.4298,34.8837,,,,617.9,,,4353.42,0.157,121.479,,,22.807,34900.0,,,,,,62.5,9.0,7.0,77.778,1.0,5.0,75.0,0.093
10,2010,35.9504,32.5581,,,,664.5,,,4315.57,0.099,149.788,,,22.807,39200.0,,,,,,57.1429,10.0,8.0,80.0,1.0,5.0,75.0,0.085
11,2011,39.6694,34.8837,,,,655.0,,,4088.43,0.1,173.067,,,28.0702,43900.0,,,,,,62.5,10.0,8.0,80.0,1.0,6.0,75.0,0.085
12,2012,42.9752,41.0853,,,,594.0,,3442.98,3974.86,0.104,163.579,,,28.0702,46000.0,,,,,,62.5,9.0,8.0,88.889,1.0,6.0,75.0,0.075
13,2013,44.2149,41.0853,,,,750.657,,3548.32,3634.16,0.085,158.633,,,33.3333,47900.0,25.81,,,,,62.5,8.0,7.0,87.5,1.0,5.0,75.0,0.076
14,2014,42.9752,36.4341,,,,788.0,,3747.32,3679.59,0.092,183.0,,,38.5965,54600.0,26.0,,,,,62.5,8.0,7.0,87.5,1.0,5.0,75.0,0.074
15,2015,44.2149,37.2093,,,,774.0,,3793.48,3607.66,,191.0,2.0,0.052,38.5965,55200.0,26.0,,,,,66.0714,10.0,9.0,90.0,1.0,5.0,75.0,0.151
16,2016,49.1736,48.8372,,,,837.106,3.674,3794.07,3535.74,3.1,190.0,0.0,0.0,38.5965,55400.0,23.87,,,,,60.7143,10.0,9.0,90.0,1.0,6.0,75.0,
17,2017,53.719,52.7132,,,,845.472,3.767,4056.61,3697.26,4.048,208.0,1.0,0.063,43.8596,58600.0,26.41,,,0.0,,66.0714,12.0,10.0,83.333,1.0,6.0,75.0,
18,2018,57.8512,60.4651,290.318,,,872.845,3.831,2377.77,3647.43,5.409,227.0,1.0,0.053,43.8596,62600.0,26.87,,,0.0,,66.0714,12.0,10.0,83.333,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,61615.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
