,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,15.4717,4.8276,,,,,,,,,,,,7.8125,7970.0,,,,,,51.7857,11.0,9.0,81.818,1.0,9.0,75.0,
9,2009,18.1132,6.2069,,,,,,,,,,,,12.5,8039.0,,,,,3.0,55.3571,12.0,10.0,83.333,1.0,9.0,90.0,
10,2010,24.1509,12.4138,,,,,,,,,,,,26.5625,7822.0,,,195.0,,5.0,51.7857,10.0,8.0,80.0,1.0,9.0,100.0,
11,2011,25.283,14.4828,,,,,,,,,,,,26.5625,7727.0,,,149.0,,8.0,51.7857,10.0,8.0,80.0,1.0,9.0,99.5,
12,2012,26.4151,16.5517,,,,,,,,,,,,26.5625,7514.0,,,119.0,,10.0,51.7857,11.0,9.0,81.818,1.0,8.0,100.0,
13,2013,30.1887,16.5517,,,,,,,,,,,,39.0625,7781.0,49.0,,137.0,,8.0,55.3571,12.0,11.0,91.667,1.0,8.0,,
14,2014,30.1887,16.5517,,,,,,,,,,,,35.9375,7747.0,31.0,,150.0,,10.0,58.9286,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,30.1887,16.5517,,,,,,,,,,,,35.9375,7394.0,31.0,,106.0,,6.6,58.9286,12.0,11.0,91.667,1.0,8.0,75.0,
16,2016,43.0189,38.6207,13081.7,,,13176.8,,101.49,,,,,,39.0625,7400.0,31.0,,73.0,0.0,13.7,58.9286,12.0,10.0,83.333,1.0,7.0,97.0,
17,2017,41.8868,36.5517,12465.0,18013.0,,18476.0,3.9,,,,,,,39.0625,7500.0,30.5,,65.0,0.0,,58.9286,11.0,9.0,81.818,1.0,7.0,95.0,
18,2018,40.7547,36.5517,12682.0,19055.0,,19162.0,3.9,,,,,,,34.375,8625.0,,,103.0,1.0,,58.9286,10.0,8.0,80.0,1.0,9.0,99.0,
19,2019,,,,,,,,,,,,,,,8789.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
