,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.9123,,,,,,,,,,,,,8.3333,27000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,12.0,75.0,
8,2008,17.5439,5.3571,,,,230.989,,,,,,,,8.3333,25800.0,,,,,,51.7857,10.0,9.0,90.0,3.0,11.0,75.0,
9,2009,21.9298,10.7143,,,,216.024,,,,,,,,8.3333,28000.0,,,,,,58.9286,10.0,8.0,80.0,3.0,14.0,75.0,
10,2010,24.5614,16.0714,,,,,,,,,,,,8.3333,27826.0,,,,,,58.9286,9.0,8.0,88.889,3.0,10.0,75.0,
11,2011,35.9649,32.1429,10.537,,,216.207,,412.498,,,,,,21.6667,31542.0,,,,,,58.9286,9.0,8.0,88.889,3.0,14.0,75.0,
12,2012,36.8421,33.9286,,,,188.365,,393.024,1110.58,,,,,21.6667,39593.0,,,,,,58.9286,9.0,8.0,88.889,1.0,16.0,75.0,
13,2013,47.3684,44.6429,12.818,,,249.532,,522.589,1097.23,,,,,31.6667,45364.0,58.0,,,,48.0,69.6429,10.0,8.0,80.0,1.0,12.0,75.0,
14,2014,46.0526,41.9643,,,,252.9,,452.037,1036.76,,,,,31.6667,44325.0,57.0,,,,46.8,69.6429,10.0,8.0,80.0,1.0,13.0,75.0,
15,2015,46.0526,41.9643,,,,214.35,,426.593,825.825,,,,,36.6667,45400.0,56.0,,,,46.6,64.2857,10.0,9.0,90.0,1.0,13.0,80.0,
16,2016,52.193,49.1071,,,,191.83,,404.274,756.193,,,,,41.6667,47300.0,54.0,25.9,,,48.1,69.6429,11.0,10.0,90.909,1.0,18.0,97.0,
17,2017,50.8772,46.4286,,,,184.437,,414.164,,,,,,41.6667,49173.0,53.0,27.0,,,50.5,69.6429,10.0,9.0,90.0,1.0,20.0,75.0,
18,2018,46.0526,38.3929,,,,,,398.886,,,,,,41.6667,47600.0,53.0,28.1,,,60.0,66.0714,11.0,10.0,90.909,1.0,21.0,75.0,
19,2019,,,,,,,,,,,,,,,51900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
