,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.9378,,,,,,,,,,,,,7.8125,404.0,,,,,,55.3571,7.0,6.0,85.714,3.0,6.0,95.71,
8,2008,14.9378,,,,,,,,,,,,,7.8125,560.0,,,,,,55.3571,7.0,6.0,85.714,3.0,9.0,96.86,
9,2009,15.7676,1.6529,,,,,,,,,,,,7.8125,567.0,,,,,,55.3571,7.0,6.0,85.714,3.0,8.0,90.0,
10,2010,15.7676,1.6529,,,,,,,,,,,,7.8125,409.0,,,,,,55.3571,8.0,7.0,87.5,3.0,9.0,100.0,
11,2011,15.7676,1.6529,,,,,,,,,,,,7.8125,529.0,,,,,,55.3571,9.0,9.0,100.0,3.0,6.0,75.0,
12,2012,18.2573,1.6529,,,,,,,,,,,,17.1875,589.0,,,,,,55.3571,7.0,6.0,85.714,3.0,7.0,75.0,
13,2013,20.332,4.1322,,,,,,,,,,,,17.1875,684.0,,,,,,58.9286,7.0,6.0,85.714,3.0,6.0,100.0,
14,2014,21.5768,4.1322,,,,,,,,,,,,17.1875,691.0,,,,,,64.2857,7.0,6.0,85.714,1.0,7.0,100.0,0.05
15,2015,19.0871,4.1322,,,,,,,,,,,,12.5,624.0,,,,,,58.9286,7.0,6.0,85.714,1.0,6.0,75.0,
16,2016,31.5353,26.4463,,,,4840.0,13.97,,,378.05,423.03,,,17.1875,576.0,,,,,,58.9286,6.0,5.0,83.333,1.0,6.0,100.0,
17,2017,32.7801,28.9256,,,,4910.0,13.23,,,398.28,500.93,,,17.1875,468.0,,,,,,58.9286,8.0,7.0,87.5,1.0,6.0,100.0,
18,2018,49.7925,47.1074,,,,5090.0,9.77,40100.0,58520.0,405.86,455.69,1.0,0.003,32.8125,483.0,,,,,,75.0,9.0,8.0,88.889,1.0,6.0,100.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
