,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,10.3306,,,,,,,,,,,,,3.5088,7600.0,,,,,,41.0714,10.0,8.0,80.0,,17.0,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,7400.0,,,,,,51.7857,9.0,7.0,77.78,1.0,11.0,90.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,6600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,9.0,90.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,6800.0,,,,,,51.7857,8.0,6.0,75.0,1.0,11.0,80.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,7400.0,,,,,,51.7857,8.0,7.0,87.5,1.0,11.0,95.0,
12,2012,15.2893,,,,,,,,,,,,,14.0351,7800.0,,,,,,51.7857,8.0,7.0,87.5,1.0,11.0,90.0,
13,2013,15.2893,,,,,,,,,,,,,14.0351,8000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,11.0,90.0,
14,2014,15.2893,,,,,,,,,,,,,14.0351,9460.0,,,,,,51.7857,8.0,7.0,87.5,1.0,12.0,90.0,
15,2015,15.2893,,,,,,,,,,,,,14.0351,10200.0,,,,,,51.7857,8.0,7.0,87.5,1.0,10.0,90.0,
16,2016,16.1157,,,,,,,,,,,,,14.0351,10600.0,,,,,,55.3571,9.0,8.0,88.889,1.0,13.0,90.0,
17,2017,16.1157,,,,,,,,,,,,,14.0351,11800.0,,,,,,55.3571,9.0,8.0,88.889,1.0,11.0,85.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,12000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,12.0,90.0,
19,2019,15.2893,,,,,,,,,,,,,14.0351,12000.0,,,,,,51.7857,9.0,7.0,77.778,1.0,7.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
