,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,12.8631,12.3967,,,,55000.0,82.11,221764.0,,,,,,3.125,35600.0,,,,,,25.0,18.0,,,,8.0,75.0,
6,2006,37.3444,31.405,,,,62300.0,119.0,243138.0,,64.318,,,4.6,42.1875,38400.0,23.5,,,2.0,,44.6429,17.0,16.0,94.118,,6.0,75.0,
7,2007,48.5477,55.3719,49810.5,58280.801,0.257,63441.5,135.351,226380.0,,50.93,1258.96,4.0,0.43,26.5625,32600.0,,,,,,58.9286,17.0,16.0,94.118,3.0,8.0,75.0,
8,2008,54.7718,55.3719,50776.0,59270.602,0.246,63229.5,114.783,240492.0,,65.817,1946.92,,2.2,40.625,31000.0,23.3,12.4,,,,69.6429,13.0,12.0,92.308,1.0,8.0,75.0,
9,2009,49.3776,57.0248,49734.5,58949.398,0.743,63837.898,115.696,79380.0,,103.284,1970.3,2.0,0.325,26.5625,30000.0,,,,,,58.9286,14.0,13.0,92.857,1.0,9.0,75.0,
10,2010,49.3776,54.5455,52632.0,62656.301,0.784,68659.0,119.764,79879.797,,61.337,1889.81,2.0,0.228,26.5625,29700.0,,,,,,64.2857,14.0,13.0,92.857,1.0,8.0,75.0,1.183
11,2011,51.0373,56.1983,54000.0,64800.0,0.815,70200.0,150.376,79497.602,,64.122,1950.25,,,34.375,29800.0,23.8,,,,,58.9286,14.0,13.0,92.857,1.0,10.0,75.0,
12,2012,55.1867,61.157,18716.1,20354.4,0.277,26488.9,107.161,73441.203,,78.606,877.648,,0.06,35.9375,16900.0,,,,1.0,,64.2857,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,54.7718,61.157,18289.699,19914.9,0.272,27386.4,99.081,73088.398,,37.358,615.483,,0.412,34.375,18400.0,28.0,,,,,64.2857,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,57.6763,61.9835,19494.6,20916.0,0.292,27460.699,101.092,71706.602,,38.385,479.23,,,43.75,19100.0,28.0,20.0,,,50.0,64.2857,10.0,9.0,90.0,1.0,6.0,75.0,
15,2015,59.751,62.8099,18600.0,19900.0,0.31,25750.0,88.0,64092.0,140400.0,27.6,402.2,,,50.0,15900.0,27.0,14.0,,0.0,44.0,64.2857,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,58.5062,60.3306,19900.0,21400.0,0.319,26800.0,60.4,67032.0,126600.0,20.9,428.4,,,50.0,13300.0,27.0,17.0,,0.0,34.8,64.2857,11.0,10.0,90.909,1.0,6.0,75.0,
17,2017,58.9212,61.157,17400.0,18600.0,0.281,20600.0,33.1,66150.0,147100.0,15.0,309.3,,,50.0,11400.0,26.0,17.0,,0.0,36.7,64.2857,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,58.9212,61.157,17500.0,18600.0,0.277,20300.0,35.0,67032.0,146400.0,19.9,353.1,,,50.0,10800.0,26.0,19.0,,0.0,33.7,64.2857,12.0,11.0,91.667,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,10400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
