,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.7033,,,,,,,,,,,,,14.0351,127000.0,,,,,,51.7857,13.0,9.0,69.231,3.0,6.0,75.0,
8,2008,29.6651,22.9167,,,,1340.05,,,,,,,,19.2982,137000.0,,,,,,51.7857,14.0,10.0,71.429,3.0,4.0,75.0,
9,2009,28.2297,19.7917,,,,1521.92,,,,,,,,19.2982,142000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,5.0,75.0,
10,2010,29.1866,21.875,,,,1560.79,,,,,,,,19.2982,147000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,4.0,75.0,
11,2011,29.1866,21.875,,,,1560.42,,,,,,,,19.2982,164000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,4.0,98.21,
12,2012,29.1866,21.875,,,,1549.52,,,,,,,,19.2982,174000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,5.0,95.71,
13,2013,30.622,25.0,,,,1663.95,,,,,,,,19.2982,184000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,5.0,98.9,
14,2014,30.622,25.0,,,,1855.26,,,,,,,,19.2982,195000.0,,,,,,51.7857,14.0,8.0,57.143,3.0,4.0,100.0,
15,2015,30.622,25.0,,,,1873.46,,,,,,,,19.2982,205000.0,,,,,,51.7857,12.0,6.0,50.0,3.0,5.0,97.14,
16,2016,29.1866,18.75,,,,2250.91,,,,,,,,24.5614,218000.0,,,,,,51.7857,13.0,7.0,53.846,3.0,5.0,98.46,
17,2017,30.622,21.875,,,,2358.63,,,,,,,,24.5614,231000.0,,,,,,51.7857,12.0,8.0,66.667,3.0,4.0,100.0,
18,2018,32.0574,25.0,,,,2508.42,,,,,,,,24.5614,245000.0,,,,,,51.7857,10.0,7.0,70.0,3.0,4.0,100.0,
19,2019,31.5789,21.875,,,,,,,,,,,,28.0702,254000.0,,,,,,51.7857,10.0,7.0,70.0,3.0,4.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
