,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,7.8512,,,,,,,,,,,,,,,,,,,,33.9286,10.0,8.0,80.0,1.0,,,
14,2014,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,75.0,1.0,5.0,97.5,
15,2015,16.5289,,,,,,,,,,,,,19.2982,8100.0,,,,,,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
16,2016,19.0083,2.3256,,,,,,,,,,,,24.5614,10060.0,,,,,,51.7857,7.0,6.0,85.714,1.0,8.0,75.0,
17,2017,24.7934,11.6279,,,,104.91,,,,,,,,24.5614,22000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,10.0,75.0,
18,2018,29.7521,20.9302,,,,95.55,,,,,,,,24.5614,20000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,5.0,75.0,
19,2019,19.0083,2.3256,,,,,,,,,,,,24.5614,19000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,11.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
