,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,47.9339,48.8372,474.0,873.0,109.152,899.0,,3010.52,29638.699,,144.659,,,28.0702,18700.0,,,,,,66.0714,15.0,14.0,93.333,1.0,7.0,86.0,
9,2009,58.2645,51.938,465.0,850.0,112.049,879.084,,3021.42,26691.199,,352426.0,,,59.6491,19400.0,44.0,33.0,519.0,1.0,32.6,71.4286,16.0,15.0,93.75,1.0,6.0,83.0,0.004
10,2010,52.8926,41.8605,,,,850.376,,2985.43,26088.301,,347802.0,,,59.6491,18400.0,45.0,33.0,498.0,0.0,37.2,71.4286,16.0,14.0,87.5,1.0,6.0,75.0,
11,2011,69.4215,65.8915,,,,831.706,,2892.0,25254.0,0.172,301.306,5.0,0.037,70.1754,17500.0,45.0,33.0,497.0,0.0,50.6,76.7857,16.0,14.0,87.5,1.0,6.0,75.0,
12,2012,68.1818,65.8915,,,,748.406,,2626.1,23739.801,0.16,281.693,3.0,0.016,70.1754,17700.0,45.0,35.0,436.0,0.0,40.6,71.4286,16.0,15.0,93.75,1.0,6.0,75.0,
13,2013,51.6529,47.2868,,,,769.239,,2721.43,24820.5,,221.949,3.0,0.975,49.1228,20000.0,45.0,36.0,,,52.6,64.2857,15.0,14.0,93.333,1.0,8.0,75.0,
14,2014,51.6529,47.2868,,,,702.324,,2517.68,21029.199,,279.316,1.0,0.027,49.1228,19400.0,45.0,39.0,,,70.4,64.2857,16.0,15.0,93.75,1.0,6.0,92.0,
15,2015,59.5041,54.2636,,,,735.556,,2899.78,29753.0,0.038,329.394,1.0,0.001,66.6667,18600.0,44.0,20.0,,,59.2,64.2857,14.0,13.0,92.857,1.0,7.0,94.0,
16,2016,58.6777,52.7132,,,,720.292,,2668.3,31834.4,0.05,332.137,1.0,0.002,66.6667,16500.0,43.0,27.0,,,65.1,64.2857,12.0,11.0,91.667,1.0,6.0,83.0,
17,2017,56.1983,50.3876,,,,751.34,,3063.56,31916.5,0.055,445.237,5.0,0.007,61.4035,18223.0,43.0,,,,61.9,64.2857,13.0,12.0,92.308,1.0,8.0,84.0,
18,2018,54.5455,50.3876,,,,734.937,,2904.02,31847.801,0.037,467.334,4.0,0.004,57.8947,16742.0,42.0,,,1.0,54.4,60.7143,12.0,11.0,91.667,1.0,10.0,87.0,
19,2019,,,,,,,,,,,,,,,19000.0,,,,,,,14.0,13.0,92.857,1.0,37.0,91.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
