,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,12.4402,,,,,,,,,,,,,8.7719,4180.0,,,,,,37.5,6.0,2.0,33.333,3.0,,,
13,2013,19.1388,,,,,,,,,,,,,19.2982,6379.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,75.0,
14,2014,19.1388,,,,,,,,,,,,,19.2982,9184.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,75.0,
15,2015,19.1388,,,,,,,,,,,,,19.2982,11094.0,,,,,,51.7857,8.0,6.0,75.0,3.0,5.0,75.0,
16,2016,19.1388,,,,,,,,,,,,,19.2982,12689.0,,,,,,51.7857,8.0,6.0,75.0,3.0,4.0,75.0,
17,2017,19.1388,,,,,,,,,,,,,19.2982,13702.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,75.0,
18,2018,20.5742,3.125,,,,,,,,,,,,19.2982,14846.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,75.0,
19,2019,21.5311,5.2083,,,,,,,,,,,,19.2982,17797.0,,,,,,51.7857,8.0,7.0,87.5,3.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
