,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,2606.0,,,,,,51.7857,9.0,8.0,88.889,3.0,10.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,3566.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,3969.0,,,,,,51.7857,9.0,8.0,88.889,3.0,9.0,75.0,
11,2011,23.5537,15.5039,,,,13.943999999999999,,,,,,,,14.0351,5306.0,,,,,6.0,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
12,2012,28.0992,24.031,,,,26.853,,,,,,,,14.0351,7785.0,,,,,6.0,51.7857,9.0,8.0,88.889,3.0,9.0,75.0,
13,2013,,,,,,37.196,,,,,,,,,9800.0,,,,,,,9.0,8.0,88.889,3.0,7.0,75.0,
14,2014,35.124,26.3566,,,,54.542,,,,,,,,33.3333,13300.0,29.0,,,,10.9,57.1429,10.0,8.0,80.0,1.0,8.0,75.0,
15,2015,32.6446,26.3566,,,,76.0,,,,,,,,22.807,16000.0,,,,,,57.1429,11.0,8.0,72.727,1.0,9.0,75.0,
16,2016,35.124,26.3566,,,,135.0,,,,,,,,33.3333,19000.0,30.0,19.0,,,,57.1429,11.0,9.0,81.818,1.0,5.0,75.0,
17,2017,33.8843,28.6822,,,,178.0,,,,,,,,28.0702,25000.0,30.1,19.4,,,,51.7857,12.0,10.0,83.333,1.0,10.0,,
18,2018,42.1488,30.2326,,,,240.0,,,,,,,,49.1228,29000.0,30.9,22.3,,,45.0,62.5,12.0,10.0,83.333,1.0,6.0,72.91,
19,2019,40.9091,32.5581,,,,286.0,,,738.189,,,,,38.5965,35000.0,31.6,,,,15.5,62.5,13.0,10.0,76.923,1.0,9.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
