,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,34.2975,22.4806,,,,307.0,,629.0,,,,,,43.8596,38056.0,22.0,16.0,129.0,,,51.7857,13.0,10.0,76.923,1.0,7.0,75.0,
6,2006,43.3884,37.2093,,,,345.252,,889.0,,,,,,43.8596,41163.0,22.1,14.0,107.0,,,57.1429,12.0,9.0,75.0,1.0,7.0,75.0,
7,2007,46.6942,43.4109,,,,495.146,0.177,1249.0,,,,,,43.8596,61535.0,23.0,12.7,,,49.0,57.1429,12.0,10.0,83.333,1.0,7.0,75.0,
8,2008,46.6942,43.4109,,,,574.439,0.167,1404.0,,,,,,43.8596,66129.0,23.5,15.5,,,37.9,57.1429,12.0,10.0,83.333,1.0,6.0,75.0,
9,2009,45.8678,44.186,,,,628.115,0.164,1500.0,,,,,,38.5965,65550.0,23.4,15.5,,,,57.1429,12.0,10.0,83.333,1.0,6.0,75.0,
10,2010,45.8678,44.186,,,,633.767,0.241,1491.0,,,,,,38.5965,70700.0,22.9,15.42,,,,57.1429,13.0,10.0,76.923,1.0,6.0,75.0,
11,2011,46.6942,44.186,,,,660.246,0.339,1613.0,,,,,,42.1053,71825.0,22.0,15.5,,,,57.1429,12.0,9.0,75.0,1.0,8.0,75.0,
12,2012,50.0,45.7364,,,,693.996,0.381,1750.0,,,,,,47.3684,66639.0,22.0,16.0,,,,62.5,12.0,10.0,83.333,1.0,6.0,75.0,
13,2013,49.5868,45.7364,,,,722.184,0.376,1763.0,,,,,,47.3684,75000.0,23.0,16.0,,,,60.7143,12.0,9.0,75.0,1.0,7.0,75.0,
14,2014,54.1322,51.938,,,,754.477,0.27,1791.0,2803.0,,12.442,,,47.3684,74042.0,23.0,17.0,,,,66.0714,12.0,9.0,75.0,1.0,5.0,75.0,
15,2015,53.3058,51.938,,,,775.24,0.212,1819.0,2916.0,,10.388,,,43.8596,71833.0,23.0,19.0,,,,66.0714,11.0,9.0,81.818,1.0,8.0,75.0,
16,2016,55.3719,55.814,,,,781.719,0.207,1825.0,3050.0,,9.805,,,43.8596,73700.0,24.0,20.0,,,,66.0714,11.0,9.0,81.818,1.0,7.0,75.0,
17,2017,56.6116,55.814,37.446,,,777.978,0.138,1827.4,3067.0,,12.519,,,43.8596,72900.0,24.0,21.0,,,,71.4286,12.0,10.0,83.333,1.0,7.0,75.0,0.0
18,2018,52.8926,48.8372,,,,712.216,0.176,1838.0,,,11.139,0.0,0.0,49.1228,74200.0,25.0,22.0,,,320.0,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,52.8926,48.8372,,,,692.271,0.156,1788.0,,,9.618,0.0,0.0,49.1228,75762.0,26.0,21.0,,,315.0,66.0714,10.0,9.0,90.0,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
