,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.0992,13.1783,,,,6296.36,,22267.301,,6.733,,,,35.0877,32897.0,6.0,21.0,,,6.622,55.3571,13.0,10.0,76.923,1.0,10.0,75.0,
8,2008,27.2727,13.1783,,,,6049.23,,21338.6,,0.404,,,,35.0877,32955.0,6.0,22.0,,,6.34,51.7857,11.0,9.0,81.818,1.0,13.0,75.0,
9,2009,43.8017,31.0078,,,,5028.64,,17927.301,3501.37,0.13,,,,59.6491,30088.0,7.0,22.0,,,6.055,57.1429,11.0,9.0,81.818,1.0,7.0,75.0,
10,2010,47.5207,37.9845,,,,5470.67,96.238,19606.801,3826.92,0.125,,22.0,,59.6491,29916.0,7.0,22.0,,,5.127,57.1429,12.0,11.0,91.667,1.0,6.0,75.0,
11,2011,51.2397,38.7597,,,,5695.44,97.316,20165.4,5347.66,0.058,,,,63.1579,31838.0,6.0,22.0,,5.0,9.221,67.8571,13.0,12.0,92.308,1.0,6.0,75.0,0.382
12,2012,53.3058,51.1628,,,,5569.08,81.039,20518.4,4266.36,0.106,96.69,16.0,0.007,54.386,30399.0,7.0,23.0,,0.0,,57.1429,13.0,12.0,92.308,1.0,7.0,75.0,
13,2013,53.719,53.4884,,,,5564.96,80.693,21399.9,5519.72,0.467,147.402,11.0,0.106,49.1228,31015.0,6.0,,,4.0,,58.9286,13.0,12.0,92.308,1.0,6.0,75.0,
14,2014,54.1322,51.1628,,,,5540.13,87.419,22470.301,6594.49,2.609,216.639,14.0,0.001,49.1228,31775.0,7.0,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,54.5455,49.6124,,,,5580.69,79.743,21605.199,6109.93,4.969,260.787,,0.53,49.1228,28878.0,6.0,,,,,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,
16,2016,53.3058,47.2868,,,,5004.02,71.967,19472.199,4538.92,0.172,324.122,,0.1,54.386,26653.0,6.0,,,,16.0,66.0714,12.0,11.0,91.667,1.0,8.0,85.0,
17,2017,50.4132,48.062,,,,4927.4,56.505,18968.699,7574.16,0.152,133.381,,0.1,49.1228,23516.0,6.0,,,,12.0,57.1429,13.0,11.0,84.615,1.0,25.0,80.0,
18,2018,47.5207,44.186,,,,4781.62,53.38,18219.199,11977.5,0.1,93.132,,,45.614,22017.0,6.0,,,,10.0,57.1429,13.0,11.0,84.615,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
