,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,34000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,8.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,31000.0,,,,,,51.7857,10.0,7.0,70.0,1.0,7.0,100.0,
10,2010,19.8347,6.2016,,,,,,,,,,,,19.2982,30000.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,100.0,
11,2011,19.8347,6.2016,,,,,,,,,,,,19.2982,30000.0,,,,,,51.7857,8.0,5.0,62.5,1.0,4.0,100.0,
12,2012,22.7273,4.6512,,,,,,,,,,,,35.0877,30000.0,42.0,,,,13.0,51.7857,9.0,7.0,77.78,1.0,4.0,100.0,
13,2013,20.2479,6.9767,,,,,,,,,,,,19.2982,32000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,4.0,100.0,
14,2014,19.0083,4.6512,,,,,,,,,,,,19.2982,33000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,6.0,100.0,
15,2015,23.5537,10.8527,,,,,,,,,,,,24.5614,32000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,4.0,100.0,
16,2016,23.5537,10.8527,,,,,,,,,,,,24.5614,35000.0,,,,,,51.7857,9.0,6.0,66.667,1.0,4.0,100.0,
17,2017,21.4876,6.2016,,,,,,,,,,,,19.2982,42000.0,,,,,,58.9286,9.0,6.0,66.667,1.0,8.0,97.22,
18,2018,25.2066,8.5271,,,,,,,,,,,,29.8246,41000.0,,,,,0.1,58.9286,9.0,6.0,66.667,1.0,4.0,94.44,
19,2019,23.9669,8.5271,,,,,,,,,,,,24.5614,45000.0,,,,,,58.9286,8.0,6.0,75.0,1.0,4.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
