,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,32.0988,19.5122,146.862,1342.007,,1366.919,,,,0.011,13.996,6.0,0.029,39.0625,35498.0,38.1,42.6,,,,51.7857,12.0,9.0,75.0,3.0,8.0,75.0,
8,2008,43.2099,30.8943,168.467,1372.63,0.728,1380.66,,1885.19,1674.3,0.008,12.893,6.0,0.052,59.375,31827.0,37.5,46.4,848.0,0.0,6.8,51.7857,12.0,9.0,75.0,3.0,20.0,75.0,
9,2009,,,165.808,1348.71,0.718,1355.14,,1878.55,1666.68,0.017,16.14,2.0,0.008,,29138.0,36.6,47.1,761.0,0.0,,,12.0,10.0,83.333,3.0,10.0,75.0,
10,2010,,,167.193,1370.91,0.682,1374.21,,2010.15,1701.91,0.007,16.351,3.0,0.014,,27167.0,35.8,49.0,764.0,0.0,6.8,,12.0,11.0,91.667,3.0,13.0,95.0,
11,2011,,,,,,,,,,,,,,,49000.0,,,,,,,16.0,14.0,87.5,3.0,10.0,75.0,
12,2012,46.9136,49.5935,262.71,2332.48,0.494,2359.43,3.29,4721.0,2210.0,,,2.0,0.6,34.375,47000.0,,,973.0,0.0,,55.3571,13.0,11.0,84.615,1.0,10.0,75.0,
13,2013,44.0329,39.0244,257.66,2305.67,,2359.43,,,2156.0,,,0.0,0.0,39.0625,47000.0,,,906.0,1.0,,60.7143,13.0,12.0,92.308,1.0,10.0,75.0,
14,2014,45.2675,39.0244,252.74,2322.37,,2351.54,,,2044.0,,,0.0,0.0,43.75,45000.0,,,977.0,0.0,0.38,60.7143,13.0,12.0,92.308,1.0,9.0,75.0,
15,2015,53.9095,39.8374,247.68,2198.36,,2218.05,,,2087.0,,,0.0,0.0,75.0,43000.0,30.0,28.0,882.0,0.0,5.4,60.7143,13.0,12.0,92.308,1.0,10.0,75.0,
16,2016,42.7984,36.5854,,,,2149.52,,,1987.54,,,1.0,0.01,43.75,40000.0,,,901.0,1.0,2.6,55.3571,11.0,10.0,90.909,1.0,14.0,75.0,
17,2017,37.037,32.5203,,,,1612.44,,,,,,0.0,0.0,29.6875,51000.0,,,,0.0,,55.3571,13.0,11.0,84.615,1.0,20.0,75.0,
18,2018,32.5103,23.5772,,,,,,,,,,0.0,0.0,29.6875,45000.0,,,,0.0,,55.3571,13.0,10.0,76.923,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
