,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,55400.0,,,,,,51.7857,7.0,5.0,71.429,3.0,7.0,75.0,
8,2008,19.0083,9.3023,,,,146.574,,,,,,,,8.7719,61700.0,,,,,,51.7857,7.0,5.0,71.429,3.0,6.0,75.0,
9,2009,19.0083,9.3023,,,,150.921,,,,,,,,8.7719,78400.0,,,,,,51.7857,8.0,6.0,75.0,3.0,8.0,75.0,
10,2010,40.4959,27.907,,,,175.935,,220.122,,,,,,47.3684,104000.0,31.0,15.0,,,,62.5,8.0,6.0,75.0,3.0,6.0,75.0,
11,2011,48.3471,40.3101,,,,172.458,,218.827,,,,,,47.3684,137700.0,32.0,16.0,,,,67.8571,8.0,6.0,75.0,3.0,8.0,75.0,
12,2012,47.9339,36.4341,,,,184.394,,230.142,2131.74,,0.894,,,54.386,156722.0,32.0,16.0,353.0,0.0,,67.8571,10.0,8.0,80.0,3.0,8.0,75.0,
13,2013,47.5207,42.6357,,,,193.067,,259.062,1840.38,,1.019,,,49.1228,171400.0,32.0,,139.0,0.0,,57.1429,10.0,8.0,80.0,3.0,9.0,75.0,
14,2014,47.5207,42.6357,,,,203.899,,301.017,2097.79,,1.312,,,49.1228,211523.0,32.0,,111.0,,,57.1429,9.0,7.0,77.778,3.0,8.0,75.0,
15,2015,48.7603,44.9612,,,,257.625,0.0,300.614,1604.82,,1.666,,,49.1228,221700.0,33.0,,110.0,,,57.1429,10.0,8.0,80.0,1.0,7.0,75.0,
16,2016,44.6281,41.8605,,,,254.977,,67.455,1352.16,,1.706,,,38.5965,260200.0,33.3,,,,,57.1429,11.0,9.0,81.818,1.0,16.0,80.0,
17,2017,27.2727,13.9535,,,,,,,,,,,,33.3333,260000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,100.0,
18,2018,26.0331,11.6279,,,,,,,,,,,,33.3333,281600.0,,,,,,51.7857,10.0,9.0,90.0,1.0,15.0,99.0,
19,2019,,,,,,,,,,,,,,,292500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
