,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,14.0496,,,,,,,,,,,,,8.7719,2656.0,,,,,,51.7857,7.0,6.0,85.714,3.0,13.0,75.0,
5,2005,12.8099,,,,,,,,,,,,,3.5088,3171.0,,,,,,51.7857,7.0,6.0,85.714,3.0,14.0,75.0,
6,2006,14.0496,2.3256,,,,,,,,,,,,3.5088,3742.0,,,,,,51.7857,7.0,6.0,85.714,3.0,13.0,75.0,
7,2007,12.8099,,,,,,,,,,,,,3.5088,4620.0,,,,,,51.7857,7.0,6.0,85.714,3.0,14.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,5040.0,,,,,,51.7857,8.0,7.0,87.5,3.0,16.0,75.0,
9,2009,,,,,,,,,,,,,,,4816.0,,,,,,,8.0,7.0,87.5,3.0,9.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,5637.0,,,,,,51.7857,8.0,7.0,87.5,3.0,9.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,6936.0,,,,,,51.7857,8.0,7.0,87.5,3.0,11.0,75.0,
12,2012,15.2893,2.3256,,,,,,,,,,,,8.7719,8212.0,,,,,,51.7857,8.0,7.0,87.5,3.0,11.0,75.0,
13,2013,15.2893,,,,,,,,,,,,,14.0351,9166.0,,,,,,51.7857,9.0,8.0,88.889,1.0,12.0,74.11,
14,2014,17.7686,4.6512,,,,,,,,,,,,14.0351,10081.0,,,,,,51.7857,11.0,10.0,90.909,1.0,12.0,75.0,
15,2015,17.7686,4.6512,,,,,,,,,,,,14.0351,9500.0,,,,,,51.7857,10.0,9.0,90.0,1.0,17.0,75.0,
16,2016,19.0083,4.6512,,,,,,,,,,,,19.2982,9600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,10.0,75.0,
17,2017,25.2066,11.6279,,,,,,,,,,,,29.8246,7500.0,25.0,18.0,,,,51.7857,10.0,8.0,80.0,1.0,12.0,75.0,
18,2018,25.2066,11.6279,,,,,,,,,,,,29.8246,8200.0,26.0,22.0,,,,51.7857,10.0,8.0,80.0,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,8400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
