,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,33.4711,19.3798,,,,1543.0,,2352.85,,,,,,38.5965,200000.0,65.0,35.0,,,32.9,60.7143,12.0,11.0,91.667,1.0,12.0,75.0,
8,2008,31.8182,16.2791,,,,1560.0,,,,,,,,38.5965,215000.0,64.4,35.8,,,39.0,60.7143,12.0,11.0,91.667,1.0,8.0,98.0,
9,2009,36.7769,25.5814,,,,1786.0,,,,,,,,38.5965,211000.0,66.2,39.5,,,79.0,60.7143,12.0,11.0,91.667,1.0,9.0,75.0,
10,2010,40.4959,32.5581,,,,1778.0,,,7350.0,,,,,33.3333,201000.0,66.0,35.0,,0.0,,66.0714,13.0,11.0,84.62,1.0,10.0,75.0,0.0
11,2011,41.7355,32.5581,,,,1800.5,,,7200.0,,,,,38.5965,202000.0,66.0,33.0,,0.0,,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,0.0
12,2012,42.9752,32.5581,,,,1647.3,,,7550.0,,,,,43.8596,203000.0,67.0,35.0,,0.0,,66.0714,10.0,9.0,90.0,1.0,8.0,75.0,0.0
13,2013,40.4959,37.2093,,,,1711.44,,,6700.0,,,,,28.0702,208000.0,67.0,,,,,60.7143,9.0,8.0,88.889,1.0,12.0,75.0,
14,2014,39.6694,35.6589,,,,1656.5,,,6200.0,,,,,28.0702,210770.0,67.0,,,,,60.7143,9.0,8.0,88.889,1.0,8.0,90.0,
15,2015,47.1074,44.9612,,,,1583.66,,3716.33,6081.0,6.275,,,,33.3333,215388.0,68.0,,,,,66.0714,11.0,10.0,90.909,1.0,8.0,75.0,
16,2016,46.281,43.4109,,,,1468.8,,3655.57,5471.0,6.365,,,,33.3333,248224.0,68.0,,,,,66.0714,11.0,10.0,90.909,1.0,7.0,97.0,
17,2017,49.5868,44.9612,,,,1425.23,,3523.25,5442.0,4.735,,,,33.3333,243544.0,68.0,,,,,76.7857,12.0,11.0,91.667,1.0,12.0,97.0,0.508
18,2018,50.8264,44.9612,,,,1274.1,,3499.23,5791.0,5.061,,,,43.8596,243000.0,69.0,34.0,,,,71.4286,16.0,14.0,87.5,1.0,8.0,99.0,1.199
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
