,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,47.7178,32.2314,,,,,122.0,250782.0,,,,577.0,4.27,64.0625,53440.0,20.6,19.4,,2.0,73.1,62.5,13.0,12.0,92.308,1.0,10.0,83.0,1.6949999999999998
6,2006,48.5477,33.8843,,,,,138.104,264600.0,,,,699.0,8.77,64.0625,55882.0,21.5,21.4,,1.0,90.8,62.5,14.0,11.0,78.571,1.0,8.0,88.0,44.036
7,2007,49.7925,33.8843,,,,,144.676,269892.0,,,,684.0,14.06,64.0625,59162.0,22.4,24.5,,3.0,119.0,67.8571,15.0,14.0,93.333,1.0,8.0,89.0,2.155
8,2008,51.0373,36.3636,,,,,134.784,268716.0,,,,564.0,15.87,64.0625,61675.0,22.7,24.8,,0.0,160.0,67.8571,15.0,13.0,86.667,1.0,8.0,85.0,5.07
9,2009,51.4523,37.1901,,,,,135.939,225556.0,,,,460.0,5.9,60.9375,59963.0,22.9,26.5,,0.0,144.0,71.4286,15.0,12.0,80.0,1.0,8.0,93.0,2.774
10,2010,51.8672,38.843,,,,,135.939,269722.0,,,,524.0,93.9,64.0625,58267.0,23.1,27.0,,0.0,197.0,66.0714,16.0,14.0,87.5,1.0,8.0,89.0,
11,2011,51.0373,38.843,,,,,132.106,263889.0,,,,185.0,89.4,60.9375,61000.0,23.4,27.5,,1.0,209.0,66.0714,13.0,10.0,76.923,1.0,6.0,88.0,
12,2012,54.7718,46.281,,,,62349.301,146.386,255000.0,,931.0,,229.0,91.0,60.9375,62000.0,23.8,26.9,,1.0,270.0,66.0714,12.0,10.0,83.333,1.0,6.0,88.0,
13,2013,51.8672,52.8926,,,,62000.0,147.0,258056.0,630000.0,946.0,,272.0,119.0,42.1875,64600.0,24.3,,,2.0,256.0,60.7143,11.0,8.0,72.727,1.0,6.0,83.0,
14,2014,51.8672,49.5868,,,,60000.0,139.0,257500.0,217000.0,971.0,,293.0,56.8,45.3125,64700.0,24.7,,,0.0,240.0,64.2857,13.0,11.0,84.615,1.0,6.0,,0.5
15,2015,51.0373,47.1074,,,,62000.0,149.0,243056.0,121000.0,700.0,,,,42.1875,61500.0,24.3,,,0.0,213.0,69.6429,12.0,11.0,91.667,1.0,6.0,79.0,0.01
16,2016,51.0373,47.1074,,,,64000.0,151.0,252500.0,116000.0,600.0,,,,42.1875,55201.0,24.2,,,1.0,185.0,69.6429,11.0,10.0,90.909,1.0,6.0,94.0,0.5
17,2017,51.8672,49.5868,,,,60000.0,159.0,237222.0,115000.0,400.0,,,,40.625,51894.0,25.0,,,2.0,,69.6429,12.0,10.0,83.333,1.0,6.0,100.0,12.2
18,2018,51.0373,45.4545,,,,63000.0,142.0,270278.0,110000.0,400.0,,,,45.3125,48638.0,25.0,19.0,,0.0,,69.6429,11.0,10.0,90.909,1.0,6.0,82.0,21.1
19,2019,,,,,,,,,,,,,,,48200.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
