,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,113.0,,,,,,,7.0,5.0,71.429,3.0,7.0,75.0,
8,2008,,,,,,,,,,,,,,,245.0,,,,,,,7.0,5.0,71.429,3.0,15.0,75.0,
9,2009,14.1079,1.6529,,,,,,,,,,,,7.8125,284.0,,,,,,48.2143,8.0,6.0,75.0,3.0,10.0,75.0,
10,2010,14.1079,1.6529,,,,,,,,,,,,7.8125,443.0,,,,,,48.2143,8.0,6.0,75.0,3.0,12.0,75.0,
11,2011,14.1079,1.6529,,,,,,,,,,,,7.8125,592.0,,,,,,48.2143,9.0,7.0,77.778,3.0,11.0,75.0,
12,2012,17.4274,1.6529,,,,,,,,,,,,17.1875,745.0,,,,,,51.7857,9.0,6.0,66.667,3.0,11.0,75.0,
13,2013,17.4274,1.6529,,,,,,,,,,,,17.1875,868.0,,,,,,51.7857,8.0,5.0,62.5,3.0,7.0,75.0,
14,2014,17.4274,1.6529,,,,,,,,,,,,17.1875,1022.0,,,,,,51.7857,8.0,5.0,62.5,3.0,7.0,75.0,
15,2015,17.4274,1.6529,,,,,,,,,,,,17.1875,1121.0,,,,,,51.7857,8.0,5.0,62.5,3.0,9.0,75.0,
16,2016,18.2573,3.3058,,,,,,,,,,,,17.1875,1085.0,,,,,,51.7857,8.0,6.0,75.0,3.0,10.0,75.0,
17,2017,18.2573,3.3058,,,,,,,,,,,,17.1875,1203.0,,,,,,51.7857,10.0,7.0,70.0,3.0,9.0,75.0,
18,2018,21.5768,8.2645,,,,,,,,,,,,17.1875,1503.0,,,,,,55.3571,11.0,9.0,81.818,3.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,1453.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
