,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,29.0566,15.8621,,,,61750.0,87.37,,,1.4969999999999999,,13.0,0.08,39.0625,16989.0,21.6,13.1,250.0,3.0,,51.7857,10.0,9.0,90.0,1.0,12.0,92.0,
8,2008,35.4717,26.2069,,,,59260.0,70.299,,,1.4060000000000001,,20.0,0.101,42.1875,17931.0,21.6,14.5,206.0,0.0,,51.7857,10.0,9.0,90.0,1.0,8.0,75.0,
9,2009,40.7547,29.6552,,,,58690.0,50.621,,,2.676,,8.0,0.135,46.875,17852.0,21.8,14.7,209.0,0.0,,62.5,12.0,10.0,83.333,1.0,9.0,75.0,1.207
10,2010,41.5094,29.6552,,,,56430.0,66.434,,17237000.0,1.4969999999999999,,12.0,0.019,46.875,15800.0,21.3,14.7,155.0,0.0,,66.0714,12.0,11.0,91.667,1.0,10.0,75.0,1.306
11,2011,42.6415,31.7241,,,,42100.0,52.288,,16215000.0,1.4060000000000001,,15.0,0.043,46.875,15800.0,21.2,15.5,147.0,0.0,,66.0714,12.0,11.0,91.667,1.0,11.0,75.0,0.879
12,2012,44.9057,31.7241,,,,36227.398,38.269,,12175600.0,0.907,,13.0,0.043,56.25,15500.0,21.1,15.9,117.0,0.0,,66.0714,11.0,10.0,90.909,1.0,9.0,75.0,1.067
13,2013,43.7736,31.7241,,,,33860.0,28.108,,12728800.0,0.998,,13.0,3.692,51.5625,14570.0,20.9,,127.0,0.0,,66.0714,11.0,11.0,100.0,1.0,11.0,75.0,1.054
14,2014,46.4151,36.5517,,33100.0,,33640.0,21.228,,12176500.0,0.998,,18.0,0.421,51.5625,14429.0,20.7,,108.0,0.0,,66.0714,10.0,8.0,80.0,1.0,12.0,75.0,0.936
15,2015,45.283,34.4828,,33800.0,,40010.0,27.307,,12293900.0,1.088,,14.0,0.448,51.5625,14743.0,20.5,,110.0,0.0,,66.0714,10.0,9.0,90.0,1.0,10.0,75.0,0.896
16,2016,41.8868,36.5517,,36700.0,,37200.0,13.883,,7765600.0,1.6640000000000001,,12.0,0.404,32.8125,16200.0,,,132.0,0.0,,66.0714,11.0,10.0,90.909,1.0,11.0,75.0,0.79
17,2017,50.9434,51.0345,30137.0,,,30211.0,10.559,133547.0,7630070.0,1.615,,17.0,0.178,37.5,16200.0,,,96.0,0.0,,66.0714,12.0,11.0,91.667,1.0,10.0,75.0,0.81
18,2018,53.5849,49.6552,27683.0,,,27870.6,10.621,133547.0,11079700.0,1.687,,18.0,0.485,51.5625,21300.0,22.0,,89.0,0.0,,66.0714,12.0,11.0,91.667,1.0,10.0,75.0,0.875
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
