,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,32.6446,32.5581,,33608.801,0.43,37000.398,0.134,78183.203,,0.692,0.692,,,14.0351,55044.0,,,,,9.6,51.7857,11.0,10.0,90.909,1.0,13.0,75.0,
8,2008,30.5785,28.6822,,33065.199,,36417.602,0.112,,,0.694,2.028,,,14.0351,84306.0,,,,,7.0,51.7857,12.0,10.0,83.333,1.0,18.0,75.0,
9,2009,40.9091,34.8837,,30538.1,,33964.699,0.089,,,0.632,1.837,,,38.5965,81106.0,42.0,,,,4.8,57.1429,13.0,11.0,84.615,1.0,12.0,75.0,
10,2010,43.8017,37.9845,,30163.199,,32093.1,0.094,,,0.622,2.088,0.0,0.0,38.5965,77127.0,43.0,,,,7.0,62.5,13.0,11.0,84.615,1.0,6.0,75.0,
11,2011,43.8017,42.6357,,30548.5,,32369.699,0.104,,,0.556,1.884,1.0,0.001,28.0702,78400.0,,,,0.0,4.8,62.5,13.0,10.0,76.923,1.0,11.0,75.0,
12,2012,48.7603,48.062,,,,31363.6,0.11,126488.0,851.798,0.58,22.379,1.0,0.002,36.8421,74000.0,,,,0.0,11.3,62.5,14.0,11.0,78.571,1.0,12.0,75.0,
13,2013,47.9339,48.062,,,,32478.199,0.113,130657.0,768.553,0.745,2.502,2.0,0.021,33.3333,78000.0,,,,0.0,23.4,62.5,14.0,11.0,78.571,1.0,9.0,75.0,
14,2014,50.0,51.938,,,,34449.602,0.102,139110.0,792.32,0.463,3.055,0.0,0.0,33.3333,80000.0,,,,0.0,22.0,62.5,16.0,13.0,81.25,1.0,7.0,75.0,
15,2015,52.4793,51.938,34104.5,,,35411.801,0.094,,,0.405,2.533,0.0,0.0,43.8596,84019.0,41.23,,,0.0,18.0,62.5,17.0,14.0,82.353,1.0,12.0,75.0,
16,2016,55.3719,55.814,35086.301,,,35732.898,0.089,133015.0,,0.392,2.926,0.0,0.0,43.8596,84245.0,40.89,,,0.0,29.4,66.0714,13.0,11.0,84.615,1.0,11.0,75.0,
17,2017,48.7603,43.4109,,,,36046.102,0.121,,,0.433,2.867,0.0,0.0,38.5965,86498.0,41.0,,,0.0,,71.4286,12.0,10.0,83.333,1.0,10.0,75.0,0.109
18,2018,50.4132,44.186,,,,37267.898,0.093,,,0.444,164.696,0.0,0.0,43.8596,80000.0,40.9,,,0.0,0.735,71.4286,12.0,10.0,83.333,1.0,9.0,75.0,0.476
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
