,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,17.3554,2.3256,,,,,,,,,,,,14.0351,47400.0,,,,,,55.3571,13.0,11.0,84.615,3.0,8.0,75.0,
6,2006,23.5537,11.6279,,,,,,,,,,,,19.2982,46500.0,,,,,,55.3571,12.0,10.0,83.333,3.0,5.0,75.0,
7,2007,24.3802,11.6279,,,,1390.4,,,,,,,,22.807,52022.0,,,,,,55.3571,13.0,12.0,92.308,3.0,6.0,75.0,
8,2008,24.7934,13.9535,,,,1578.56,,,,,,,,22.807,56700.0,,,,,,51.7857,14.0,13.0,92.857,3.0,6.0,75.0,
9,2009,22.7273,8.5271,,,,,,,,,,,,22.807,51300.0,,,,,,55.3571,12.0,10.0,83.333,3.0,7.0,75.0,
10,2010,22.7273,8.5271,,,,,,,,,,,,22.807,55700.0,,,,,,55.3571,11.0,10.0,90.91,1.0,7.0,75.0,
11,2011,25.2066,13.1783,,,,,,,,,,,,22.807,61300.0,,,,,12.2,55.3571,11.0,10.0,90.909,1.0,5.0,75.0,
12,2012,28.9256,15.5039,,,,,,,,,,,,33.3333,66900.0,,,,,24.4,55.3571,12.0,11.0,91.667,1.0,4.0,75.0,
13,2013,32.2314,17.0543,,,,,,,,,,,,38.5965,67000.0,,,,,24.5,60.7143,12.0,11.0,91.67,1.0,5.0,75.0,
14,2014,29.7521,17.0543,,,,,,,,,,,,33.3333,59600.0,,,,,,55.3571,12.0,11.0,91.667,1.0,5.0,96.0,
15,2015,26.4463,13.1783,,,,,,,,,,,,28.0702,57200.0,,,,,,55.3571,14.0,13.0,92.857,1.0,5.0,96.0,
16,2016,26.4463,13.1783,,,,,,,,,,,,28.0702,56800.0,,,,,,55.3571,11.0,10.0,90.909,1.0,5.0,100.0,
17,2017,27.686,13.1783,,,,,,,,,,,,28.0702,60500.0,,,,,,60.7143,12.0,11.0,91.667,1.0,5.0,99.0,
18,2018,27.686,13.1783,,,,,,,,,,,,28.0702,74000.0,,,,,,60.7143,11.0,10.0,90.909,1.0,6.0,98.0,
19,2019,,,,,,,,,,,,,,,73500.0,,,,,,,11.0,10.0,90.909,1.0,4.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
