,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,8.612400000000001,,,,,,,,,,,,,8.7719,71500.0,,,,,,23.2143,5.0,,,1.0,,,
9,2009,,,,,,,,,,,,,,,72500.0,,,,,,,5.0,4.0,80.0,1.0,,,
10,2010,14.8325,,,,,,,,,,,,,8.7719,79800.0,,,,,,46.4286,7.0,3.0,42.86,1.0,8.0,,
11,2011,16.2679,,,,,,,,,,,,,8.7719,85900.0,,,,,,51.7857,7.0,3.0,42.86,1.0,5.0,75.0,
12,2012,16.2679,,,,,,,,,,,,,8.7719,90000.0,,,,,,51.7857,7.0,3.0,42.857,1.0,7.0,75.0,
13,2013,19.1388,,,,,,,,,,,,,19.2982,90500.0,,,,,,51.7857,9.0,5.0,55.556,1.0,7.0,75.0,
14,2014,20.0957,,,,,,,,,,,,,19.2982,100600.0,,,,,,55.3571,7.0,6.0,85.714,1.0,6.0,75.0,
15,2015,19.1388,,,,,,,,,,,,,19.2982,105500.0,,,,,,51.7857,8.0,7.0,87.5,1.0,16.0,75.0,
16,2016,20.5742,,,,,,,,,,,,,24.5614,113400.0,,,,,,51.7857,9.0,7.0,77.778,1.0,10.0,75.0,
17,2017,20.5742,,,,,,,,,,,,,24.5614,121000.0,,,,,,51.7857,8.0,7.0,87.5,1.0,7.0,75.0,
18,2018,19.1388,,,,,,,,,,,,,19.2982,129000.0,,,,,,51.7857,8.0,7.0,87.5,1.0,5.0,75.0,
19,2019,20.0957,,,,,,,,,,,,,19.2982,135000.0,,,,,,55.3571,8.0,7.0,87.5,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
