,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.5124,10.8527,,,,285.143,,,940.189,9.393,22.416,,,45.614,43500.0,69.0,55.0,,,1.2,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
8,2008,28.5124,10.8527,,,,267.817,,,871.203,8.081,19.43,,,45.614,42800.0,69.0,51.0,,,6.9,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
9,2009,34.7107,20.155,,,,260.196,,653.333,875.864,8.081,25.233,,,50.8772,43000.0,68.0,51.0,,,1.3,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
10,2010,37.1901,20.155,,,,249.6,,636.667,840.797,8.505,28.185,,,61.4035,42000.0,68.0,50.0,,,1.3,51.7857,9.0,8.0,88.889,3.0,13.0,75.0,
11,2011,40.4959,24.8062,,,,265.309,,646.667,835.692,7.996,25.569,,,64.9123,42000.0,68.0,47.0,,,1.5,51.7857,9.0,8.0,88.889,3.0,15.0,75.0,
12,2012,40.4959,24.8062,,,,268.626,,664.167,860.515,10.588,27.14,,,64.9123,41000.0,68.0,46.0,,,1.6,51.7857,9.0,8.0,88.889,3.0,13.0,75.0,
13,2013,39.2562,24.8062,,,,259.329,,646.667,809.039,10.122,29.032,,,59.6491,41000.0,68.9,40.0,,,3.469,51.7857,9.0,8.0,88.889,1.0,11.0,75.0,
14,2014,38.0165,20.155,,,,,,662.5,796.572,10.448,28.709,,,64.9123,44509.0,71.0,41.0,,,80.9,51.7857,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,36.3636,28.6822,,,,,,658.333,777.263,10.06,28.62,,,38.5965,44000.0,71.0,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,74.9,
16,2016,36.7769,27.1318,,,,,,641.944,746.694,9.978,28.117,,,43.8596,43000.0,70.0,,,,60.0,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,36.7769,29.4574,,,,,,727.778,951.771,12.991,29.11,,,38.5965,45000.0,70.0,,,,103.0,51.7857,9.0,8.0,88.889,1.0,5.0,75.0,
18,2018,33.8843,12.4031,,,,,,,,,,,,59.6491,46000.0,71.6,40.0,,,108.0,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,47000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
