,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.595,2.3256,,,,,,,,,,,,19.2982,6231.0,,,,,,55.3571,8.0,5.0,62.5,1.0,6.0,83.0,
8,2008,18.595,2.3256,,,,,,,,,,,,19.2982,3800.0,,,,,,55.3571,8.0,5.0,62.5,1.0,4.0,100.0,
9,2009,18.595,2.3256,,,,,,,,,,,,19.2982,2926.0,,,,,,55.3571,7.0,4.0,57.143,1.0,8.0,100.0,
10,2010,18.595,2.3256,,,,,,,,,,,,19.2982,3214.0,,,,,,55.3571,7.0,4.0,57.143,1.0,4.0,94.0,
11,2011,17.3554,2.3256,,,,,,,,,,,,14.0351,3010.0,,,,,,55.3571,6.0,4.0,66.667,1.0,6.0,100.0,
12,2012,17.3554,2.3256,,,,,,,,,,,,14.0351,3477.0,,,,,,55.3571,6.0,4.0,66.667,1.0,7.0,100.0,
13,2013,17.3554,2.3256,,,,,,,,,,,,14.0351,4609.0,,,,,,55.3571,6.0,4.0,66.667,1.0,5.0,93.0,
14,2014,17.3554,2.3256,,,,,,,,,,,,14.0351,5621.0,,,,,,55.3571,6.0,4.0,66.667,1.0,5.0,100.0,
15,2015,17.3554,2.3256,,,,,,,,,,,,14.0351,6230.0,,,,,,55.3571,5.0,4.0,80.0,1.0,8.0,100.0,
16,2016,17.3554,2.3256,,,,,,,,,,,,14.0351,6976.0,,,,,,55.3571,5.0,4.0,80.0,1.0,4.0,100.0,
17,2017,17.3554,2.3256,,,,,,,,,,,,14.0351,7735.0,,,,,,55.3571,5.0,4.0,80.0,1.0,7.0,95.0,
18,2018,17.3554,2.3256,,,,,,,,,,,,14.0351,8437.0,,,,,,55.3571,5.0,4.0,80.0,1.0,5.0,95.0,
19,2019,17.3554,2.3256,,,,,,,,,,,,14.0351,8916.0,,,,,,55.3571,5.0,4.0,80.0,1.0,7.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
