,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,16.5289,6.9767,,,,,,,,,,,,3.5088,133000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,14.0,80.0,
6,2006,22.7273,18.6047,,,,5.671,,,,,298.0,,,3.5088,133000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,11.0,85.0,
7,2007,17.7686,9.3023,,,,,,,,,,,,3.5088,137000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,7.0,75.0,
8,2008,28.5124,18.6047,,,,1649.04,,,,,,,,28.0702,95524.0,52.0,,,,209.0,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
9,2009,33.8843,24.031,,,,1496.79,,,,,285.877,,,38.5965,129928.0,61.0,,,,230.0,51.7857,12.0,9.0,75.0,1.0,9.0,75.0,
10,2010,37.1901,28.6822,,,,1465.78,,,,,302.898,,,33.3333,134532.0,52.0,,,,198.0,60.7143,13.0,10.0,76.923,1.0,8.0,75.0,
11,2011,38.4298,31.0078,,,,1524.8,,,,,303.195,,,33.3333,141260.0,52.0,,,,248.5,60.7143,13.0,10.0,76.923,1.0,5.0,75.0,
12,2012,38.4298,28.6822,,,,1651.95,,,,,314.492,,,33.3333,157010.0,51.0,,,,292.2,66.0714,10.0,9.0,90.0,1.0,7.0,75.0,0.193
13,2013,38.4298,31.0078,,,,1681.39,,,26234.1,,308.0,,,33.3333,159401.0,52.0,,,,369.5,60.7143,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,39.2562,30.2326,,,,1793.51,,5355.78,26082.699,,,,,33.3333,164426.0,52.0,,,,315.7,66.0714,10.0,9.0,90.0,1.0,7.0,75.0,
15,2015,36.7769,27.907,,,,1768.07,,5459.84,26801.9,,,,,33.3333,169237.0,52.5,,,,333.3,60.7143,10.0,9.0,90.0,1.0,6.0,75.0,
16,2016,36.7769,27.907,,,,1775.31,,5515.8,27066.9,,,,,33.3333,178985.0,52.7,,,,402.1,60.7143,11.0,9.0,81.818,1.0,10.0,75.0,
17,2017,38.0165,27.907,,,,1884.91,,5847.06,26158.4,,,,,33.3333,180154.0,52.9,,,,348.6,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,7.838
18,2018,35.5372,27.907,,,,1925.4,,5907.65,24454.9,,,,,33.3333,201000.0,53.1,,,,332.8,55.3571,11.0,10.0,90.909,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,223000.0,,,,,,,9.0,8.0,88.889,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
