,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,4000.0,,,,,,,11.0,7.0,63.636,3.0,5.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,4400.0,,,,,,51.7857,11.0,7.0,63.636,3.0,10.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,4200.0,,,,,,51.7857,11.0,7.0,63.636,3.0,17.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,4600.0,,,,,,51.7857,11.0,9.0,81.818,3.0,12.0,75.0,
12,2012,16.5289,,,,,,,,,,,,,19.2982,4500.0,,,,,,51.7857,11.0,9.0,81.818,3.0,11.0,75.0,
13,2013,16.1157,,,,,,,,,,,,,17.5439,5700.0,,,,,,51.7857,11.0,9.0,81.818,3.0,13.0,75.0,
14,2014,14.0496,,,,,,,,,,,,,14.0351,6800.0,,,,,,46.4286,10.0,9.0,90.0,3.0,13.0,,
15,2015,14.0496,,,,,,,,,,,,,14.0351,7000.0,,,,,,46.4286,10.0,9.0,90.0,3.0,15.0,,
16,2016,15.2893,,,,,,,,,,,,,14.0351,7000.0,,,,,,51.7857,11.0,10.0,90.909,3.0,16.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,7000.0,,,,,,51.7857,11.0,10.0,90.909,3.0,12.0,72.9,
18,2018,15.2893,,,,,,,,,,,,,14.0351,9000.0,,,,,,51.7857,12.0,11.0,91.667,3.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
