,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.5702,,,,,,,,,,,,,3.5088,33400.0,,,,,,46.4286,13.0,11.0,84.615,,4.0,75.0,
8,2008,11.5702,,,,,,,,,,,,,3.5088,32300.0,,,,,,46.4286,12.0,11.0,91.667,,8.0,75.0,
9,2009,,,,,,,,,,,,,,,29300.0,,,,,,,12.0,11.0,91.667,1.0,6.0,75.0,
10,2010,17.7686,9.3023,,,,387.0,,654.0,,,,,,3.5088,32000.0,,,,,,51.7857,13.0,12.0,92.308,1.0,6.0,75.0,
11,2011,16.5289,4.6512,,,,,,,,,,,,8.7719,34000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
12,2012,19.0083,4.6512,,,,,,,,,,,,19.2982,35000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
13,2013,19.0083,4.6512,,,,,,,,,,,,19.2982,37000.0,,,,,,51.7857,13.0,12.0,92.308,1.0,11.0,75.0,
14,2014,17.7686,4.6512,,,,,,,,,,,,14.0351,27000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,11.0,97.0,
15,2015,22.7273,13.9535,,,,,,,,,,,,14.0351,26000.0,,,,,,51.7857,13.0,11.0,84.615,1.0,12.0,97.0,
16,2016,22.7273,13.9535,,,,,,,,,,,,14.0351,29000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
17,2017,24.3802,17.0543,,,,,,,,,,,,14.0351,29000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,10.0,75.0,
18,2018,24.3802,17.0543,,,,,,,,,,,,14.0351,24000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,24000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
