,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.9835,,,,,,,,,,,,,3.5088,1400.0,,,,,,48.2143,12.0,11.0,91.67,1.0,4.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,1200.0,,,,,,51.7857,13.0,12.0,92.31,1.0,6.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,1000.0,,,,,,51.7857,12.0,11.0,91.67,1.0,7.0,75.0,
10,2010,13.6364,1.5504,,,,,,,,,,,,3.5088,1000.0,,,,,,51.7857,11.0,10.0,90.91,1.0,5.0,75.0,
11,2011,13.6364,1.5504,,,,,,,,,,,,3.5088,850.0,,,,,,51.7857,12.0,11.0,91.67,1.0,5.0,75.0,
12,2012,13.6364,1.5504,,,,,,,,,,,,3.5088,840.0,,,,,,51.7857,12.0,11.0,91.67,1.0,5.0,75.0,
13,2013,13.6364,1.5504,,,,,,,,,,,,3.5088,790.0,,,,,,51.7857,12.0,11.0,91.67,1.0,7.0,75.0,
14,2014,16.1157,6.2016,,,,,,,,,,,,3.5088,750.0,,,,,,51.7857,13.0,12.0,92.308,1.0,6.0,75.0,
15,2015,19.8347,8.5271,,,,,,,,,,,,14.0351,500.0,,,,,,51.7857,14.0,12.0,85.714,1.0,5.0,75.0,
16,2016,21.0744,8.5271,,,,,,,,,,,,19.2982,500.0,,,,,0.605,51.7857,12.0,10.0,83.333,1.0,4.0,75.0,
17,2017,22.7273,10.0775,,,,,,,,,,,,22.807,400.0,,,,,0.514,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,22.7273,10.0775,,,,,,,,,,,,22.807,400.0,,,,,2.56,51.7857,13.0,12.0,92.308,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
