,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,24.8804,18.75,,,,,,2929.08,21260.4,,,,,3.5088,179000.0,,,,,,57.1429,12.0,10.0,83.333,1.0,8.0,75.0,
9,2009,22.0096,15.625,,,,,,3016.67,21020.801,,,,,3.5088,179000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
10,2010,24.4019,20.8333,,,,,,3011.5,19649.0,,,,,3.5088,174079.0,,,,,,51.7857,12.0,10.0,83.333,1.0,5.0,75.0,
11,2011,41.1483,45.8333,326.949,,,1093.97,,3070.6,,,,,,17.5439,178500.0,,,,,,57.1429,12.0,10.0,83.333,1.0,5.0,75.0,
12,2012,48.3254,52.0833,326.506,,,1067.74,,3102.81,,,5835.56,,,28.0702,180000.0,52.0,,,,,62.5,14.0,12.0,85.714,1.0,6.0,75.0,
13,2013,40.1914,31.25,,,,,,3202.12,,,6111.45,,,38.5965,206578.0,53.0,,,,,57.1429,13.0,11.0,84.615,1.0,8.0,75.0,0.601
14,2014,41.6268,31.25,,,,,,3256.55,,,6073.26,,,43.8596,206489.0,53.0,,,,2.2,57.1429,12.0,11.0,91.667,1.0,14.0,75.0,0.527
15,2015,38.2775,25.0,,,,,,,,,,,,38.5965,150000.0,52.0,,,,,60.7143,14.0,13.0,92.857,1.0,19.0,75.0,0.373
16,2016,36.3636,17.7083,,,,,,,,,,,,49.1228,150000.0,52.0,37.0,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
17,2017,33.4928,17.7083,,,,,,,,,,,,38.5965,175000.0,53.0,,,,,55.3571,8.0,7.0,87.5,1.0,5.0,75.0,
18,2018,33.4928,17.7083,,,,,,,,,,,,38.5965,180000.0,55.0,,,,,55.3571,7.0,6.0,85.714,1.0,4.0,75.0,
19,2019,33.4928,17.7083,,,,,,,,,,,,38.5965,185000.0,55.0,,,,,55.3571,8.0,7.0,87.5,1.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
