,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,31.3208,12.4138,,,,45400.0,,,,,,,,43.75,10262.0,25.0,18.0,,,7.6,66.0714,12.0,9.0,75.0,3.0,7.0,89.0,0.45
8,2008,18.1132,8.2759,,,,42245.0,,,,,,,,7.8125,10471.0,,,,,,55.3571,13.0,10.0,76.923,3.0,6.0,83.0,
9,2009,22.2642,13.7931,,,,,,,,,,,,12.5,10244.0,,,,,,55.3571,14.0,11.0,78.571,3.0,6.0,75.0,
10,2010,33.5849,30.3448,,,,40220.301,376.973,,,,,,,17.1875,9800.0,,,,,,60.7143,15.0,12.0,80.0,3.0,6.0,75.0,
11,2011,32.4528,28.2759,,39900.0,,,34.427,,,,,,,17.1875,9800.0,,,,,,60.7143,13.0,11.0,84.615,1.0,8.0,75.0,
12,2012,32.4528,28.2759,,38100.0,,,30.736,,,,,,,17.1875,9900.0,,,,,,60.7143,14.0,13.0,92.857,1.0,7.0,83.0,
13,2013,43.3962,40.6897,,39200.0,,,33.4,,5863980.0,,,,,29.6875,9900.0,25.1,,,,,66.0714,13.0,12.0,92.308,1.0,7.0,94.0,
14,2014,36.9811,27.5862,,,,36600.0,29.259,,,,,,,37.5,10000.0,25.1,26.0,,1.0,,60.7143,13.0,12.0,92.308,1.0,6.0,93.0,
15,2015,36.9811,27.5862,,,,36300.0,23.409,,,,,,,34.375,10000.0,25.0,,,,,64.2857,12.0,11.0,91.667,1.0,6.0,88.0,
16,2016,45.6604,39.3103,28949.0,,,,18.732,,5837370.0,,,6.0,0.4,43.75,9992.0,26.0,,,,,64.2857,12.0,11.0,91.667,1.0,8.0,83.0,
17,2017,52.8302,48.2759,29766.0,33995.602,,33600.0,20.391,,5759900.0,0.115,1100.28,,,48.4375,10400.0,26.0,20.0,,,,69.6429,13.0,12.0,92.308,1.0,7.0,88.0,
18,2018,53.2075,48.9655,30617.0,36052.102,,36311.699,19.761,,,0.088,598.95,31.0,0.029,48.4375,10600.0,27.5,19.0,,,,69.6429,13.0,12.0,92.308,1.0,7.0,89.0,
19,2019,,,,,,,,,,,,,,,10700.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
