,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,33.9623,22.7586,95636.398,,,,148.6,,,,,13.0,0.013,34.375,17910.0,21.7,,,4.0,1.16,62.5,10.0,9.0,90.0,1.0,8.0,75.0,
7,2007,48.6792,33.7931,101455.0,,,,130.997,342779.0,,0.0,,12.0,29.265,60.9375,18117.0,22.6,,226.0,2.0,2.4,73.2143,12.0,11.0,91.667,1.0,8.0,75.0,0.521
8,2008,51.6981,37.931,148000.0,,,,123.149,327939.0,,0.0,36.511,16.0,0.142,60.9375,18548.0,22.6,,213.0,0.0,2.4,76.7857,11.0,10.0,90.909,1.0,8.0,75.0,0.785
9,2009,60.0,50.3448,132455.0,,,,59.0,406069.0,,0.4,36.0,20.0,2.806,71.875,18680.0,22.6,,187.0,0.0,2.5,71.4286,12.0,10.0,83.333,1.0,6.0,75.0,
10,2010,62.6415,53.1034,145091.0,,,,65.0,425409.0,,0.11,36.0,19.0,0.021,71.875,18440.0,22.9,,166.0,0.0,3.0,76.7857,11.0,10.0,90.909,1.0,11.0,75.0,7.0
11,2011,63.3962,52.4138,129636.0,,,,65.0,449849.0,,0.15,40.0,12.0,0.02,71.875,18249.0,22.9,,157.0,0.0,4.7,82.1429,11.0,10.0,90.909,1.0,11.0,75.0,7.5
12,2012,60.7547,55.8621,122545.0,,,,89.18,456003.0,,0.03,42.61,4.0,0.129,67.1875,27885.0,22.4,,228.0,1.0,24.0,66.0714,15.0,14.0,93.333,1.0,15.0,75.0,
13,2013,65.283,62.069,123741.0,,,,78.02,416088.0,,0.05,76.28,16.0,1.007,67.1875,28129.0,22.4,,208.0,1.0,12.2,71.4286,17.0,15.0,88.235,1.0,10.0,95.0,7.24
14,2014,60.0,54.4828,124788.0,,,,76.2,460691.0,,0.044,77.555,33.0,0.236,67.1875,28344.0,22.2,,185.0,3.0,35.2,66.0714,15.0,14.0,93.333,1.0,11.0,98.0,1.5
15,2015,62.2642,59.3103,100256.0,,,,70.76,374656.0,,0.29,79.44,9.0,114.586,62.5,28905.0,22.6,,,0.0,7.8,69.6429,15.0,14.0,93.333,1.0,14.0,98.0,1.8399999999999999
16,2016,56.6038,50.3448,96853.703,,,,65.317,355868.0,,0.517,92.766,9.0,7.114,59.375,28790.0,22.8,,,0.0,7.8,69.6429,14.0,13.0,92.857,1.0,7.0,98.0,1.819
17,2017,56.6038,48.2759,95254.297,,,,56.245,341500.0,,0.114,98.883,10.0,0.02,64.0625,29143.0,23.1,,,0.0,6.9,69.6429,13.0,12.0,92.308,1.0,5.0,96.0,0.918
18,2018,57.3585,52.4138,95254.297,,,,57.153,380260.0,,0.255,94.347,17.0,0.534,57.8125,29923.0,23.3,,,,15.4,69.6429,14.0,13.0,92.857,1.0,5.0,98.0,1.624
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
