,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,31000.0,,,,,,,10.0,9.0,90.0,1.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,32500.0,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,75.0,
9,2009,18.595,6.9767,,,,,,,,,,,,12.2807,34000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,8.0,75.0,
10,2010,19.8347,6.9767,,,,,,,,,,,,12.2807,36500.0,,,,,,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,
11,2011,17.7686,6.9767,,,,,,,,,,,,8.7719,41000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,13.0,75.0,
12,2012,19.0083,9.3023,,,,,,,,,,,,8.7719,53400.0,,,,,,51.7857,10.0,8.0,80.0,1.0,17.0,75.0,
13,2013,20.2479,9.3023,,,,,,,,,,,,14.0351,57400.0,,,,,,51.7857,10.0,8.0,80.0,1.0,16.0,75.0,
14,2014,21.4876,9.3023,,,,,,,,,,,,19.2982,57900.0,,,,,1.6,51.7857,10.0,8.0,80.0,1.0,13.0,74.9,
15,2015,21.4876,9.3023,,,,,,,,,,,,19.2982,60400.0,,,,,1.4,51.7857,10.0,9.0,90.0,1.0,9.0,75.0,
16,2016,23.1405,10.8527,,,,,,,,,,,,22.807,70300.0,,,,,1.4,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
17,2017,24.3802,13.1783,,,,,,549.835,,,,,,22.807,74500.0,,,,,1.3,51.7857,11.0,9.0,81.818,1.0,18.0,75.0,
18,2018,28.0992,13.1783,,,,,,558.176,,,,,,38.5965,65000.0,76.84,35.11,,,2.1,51.7857,10.0,9.0,90.0,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,65000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
