,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19.917,9.9174,,,,4170.0,,,,,,,,7.8125,5000.0,,,,,,55.3571,12.0,10.0,83.333,3.0,8.0,75.0,
8,2008,19.917,9.9174,,,,4170.0,,,,,,,,7.8125,5500.0,,,,,,55.3571,9.0,7.0,77.778,3.0,6.0,75.0,
9,2009,17.0124,4.1322,,,,,,,,,,,,7.8125,5400.0,,,,,,55.3571,9.0,7.0,77.778,3.0,7.0,75.0,
10,2010,17.8423,4.1322,,,,,,,,,,,,7.8125,5000.0,,,,,,58.9286,9.0,7.0,77.778,1.0,6.0,75.0,
11,2011,26.556,19.0083,,,,8242.09,,,,,,,,12.5,5200.0,,,,,18.0,58.9286,8.0,6.0,75.0,1.0,4.0,75.0,
12,2012,24.4813,19.0083,,,,8684.56,,,,,,,,7.8125,5700.0,,,,,,55.3571,8.0,6.0,75.0,1.0,7.0,75.0,
13,2013,26.556,19.0083,,,,8635.66,,,,,,,,12.5,5900.0,,,,,,58.9286,8.0,6.0,75.0,1.0,7.0,75.0,
14,2014,30.2905,23.9669,,,,6605.18,,10223.4,,,,,,12.5,6600.0,,,,,,64.2857,10.0,8.0,80.0,1.0,7.0,93.0,
15,2015,41.4938,35.5372,4293.68,,,7006.62,,11278.2,9328.21,,,,,37.5,6600.0,27.0,,,0.0,12.025,58.9286,9.0,7.0,77.778,1.0,7.0,100.0,
16,2016,44.3983,39.6694,3869.81,,,5401.51,,18165.9,6146.15,,,,,40.625,5000.0,27.0,,,0.0,5.29,58.9286,9.0,7.0,77.778,1.0,8.0,95.0,
17,2017,48.9627,44.6281,4062.64,,,5940.0,,26062.301,9648.47,,,,,34.375,3414.0,27.0,,,,8.652,75.0,9.0,7.0,77.778,1.0,8.0,88.0,1.062
18,2018,50.6224,44.6281,4416.19,,,6301.62,,21533.4,14563.0,,,,,43.75,3545.0,25.0,,,0.0,7.043,71.4286,10.0,8.0,80.0,1.0,9.0,92.0,0.494
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
