,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,7900.0,,,,,,,9.0,8.0,88.889,1.0,6.0,75.0,
8,2008,11.9835,,,,,,,,,,,,,3.5088,9000.0,,,,,,48.2143,9.0,7.0,77.778,1.0,11.0,75.0,
9,2009,11.9835,,,,,,,,,,,,,3.5088,9100.0,,,,,,48.2143,9.0,7.0,77.778,1.0,9.0,75.0,
10,2010,11.9835,,,,,,,,,,,,,3.5088,7800.0,,,,,,48.2143,10.0,8.0,80.0,1.0,7.0,75.0,
11,2011,11.9835,,,,,,,,,,,,,3.5088,7600.0,,,,,,48.2143,10.0,8.0,80.0,1.0,8.0,75.0,
12,2012,11.9835,,,,,,,,,,,,,3.5088,9200.0,,,,,,48.2143,10.0,9.0,90.0,1.0,14.0,75.0,
13,2013,14.0496,,,,,,,,,,,,,8.7719,9300.0,,,,,,51.7857,8.0,7.0,87.5,1.0,10.0,75.0,
14,2014,12.8099,,,,,,,,,,,,,8.7719,8300.0,,,,,,46.4286,9.0,7.0,77.778,1.0,6.0,,
15,2015,14.0496,,,,,,,,,,,,,8.7719,8400.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,78.0,
16,2016,14.0496,,,,,,,,,,,,,8.7719,8500.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,86.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,8800.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,89.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,9300.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,80.0,
19,2019,23.5537,12.4031,,,,,,,,,,,,17.5439,9700.0,,,,,,55.3571,9.0,8.0,88.889,1.0,8.0,79.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
