,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,14.0496,,,,,,,,,,,,,8.7719,13200.0,,,,,,51.7857,11.0,9.0,81.818,3.0,4.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,15500.0,,,,,,51.7857,14.0,10.0,71.429,3.0,10.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,16200.0,,,,,,51.7857,12.0,10.0,83.333,3.0,5.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,16400.0,,,,,,51.7857,12.0,10.0,83.333,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,17700.0,,,,,,51.7857,11.0,9.0,81.82,3.0,5.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,27770.0,,,,,,51.7857,12.0,10.0,83.333,3.0,4.0,75.0,
12,2012,26.4463,20.9302,,,,226.194,,,498.035,,,,,14.0351,31500.0,,,,,,51.7857,12.0,10.0,83.333,3.0,4.0,75.0,
13,2013,30.1653,25.5814,,,,250.982,,695.194,588.73,,,,,19.2982,33500.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
14,2014,26.4463,16.2791,,,,270.376,,716.353,164.13,,,,,24.5614,34600.0,,,,,,51.7857,11.0,9.0,81.818,1.0,12.0,75.0,
15,2015,30.5785,19.3798,,,,152.059,,407.736,361.561,,,,,35.0877,11600.0,43.0,29.0,,,,51.7857,11.0,9.0,81.818,1.0,8.0,75.0,
16,2016,36.3636,30.2326,,,,98.692,,412.908,522.411,,,,,35.0877,12600.0,38.0,,,,,51.7857,12.0,10.0,83.333,1.0,5.0,75.0,
17,2017,36.3636,32.5581,,,,123.441,,450.816,577.321,,,,,29.8246,14100.0,40.0,,,,,51.7857,14.0,12.0,85.714,1.0,4.0,75.0,
18,2018,40.4959,35.6589,,,,183.987,,458.019,383.991,,,,,35.0877,14000.0,40.0,32.0,,,,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,13300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
