,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,31.405,13.9535,,,,,,,,,,,,31.5789,23000.0,,,,,4.0,71.4286,12.0,8.0,66.667,3.0,6.0,92.3,0.0
7,2007,29.7521,13.1783,,,,,,,,,,,,31.5789,26050.0,,,,,1.2,66.0714,13.0,9.0,69.231,3.0,6.0,97.8,
8,2008,30.5785,13.9535,,,,,,,,,,,,28.0702,26500.0,,,,,7.1,71.4286,10.0,9.0,90.0,3.0,9.0,93.9,0.0
9,2009,57.0248,63.5659,188.75,278.52,0.304,289.187,,916.228,1912.1,10.073,22.723,,,28.0702,25931.0,,,,,7.8,71.4286,11.0,10.0,90.909,3.0,6.0,93.0,0.0
10,2010,,,177.567,265.626,0.314,279.112,,845.102,1822.6,,18.644,,,,26500.0,,,113.0,,9.106,,11.0,10.0,90.909,3.0,7.0,93.0,0.0
11,2011,42.9752,43.4109,,,,277.727,0.0,673.0,2050.4,,19.087,9.0,0.0,22.807,40200.0,,,,,13.401,62.5,14.0,13.0,92.857,3.0,12.0,95.0,
12,2012,49.5868,51.938,,,,535.554,0.094,1897.83,7073.88,33.587,65.248,0.0,0.0,33.3333,41000.0,,,,,5.64,60.7143,14.0,13.0,92.857,3.0,8.0,96.0,
13,2013,50.0,52.7132,,,,629.83,0.257,8112.27,7118.65,28.78,86.145,0.0,0.0,33.3333,45415.0,,,,,7.507,60.7143,15.0,14.0,93.333,1.0,7.0,96.0,
14,2014,52.4793,56.5891,,,,698.639,1.334,8461.45,7879.34,42.108,73.575,0.0,0.0,33.3333,42995.0,,,,,,62.5,14.0,13.0,92.857,1.0,6.0,96.0,0.0
15,2015,52.4793,56.5891,,,,702.602,1.3559999999999999,2388.42,7898.33,46.109,78.037,0.0,0.0,38.5965,40785.0,,,,,,57.1429,17.0,16.0,94.118,1.0,6.0,97.0,
16,2016,59.0909,64.3411,,,,698.915,1.143,2388.14,8814.39,44.654,75.478,0.0,0.0,38.5965,47020.0,25.14,,,,,67.8571,15.0,14.0,93.333,1.0,7.0,98.0,0.004
17,2017,57.438,63.5659,,,,641.181,1.088,2413.9,9090.5,49.56,78.889,0.0,0.0,33.3333,47699.0,24.91,,,,,67.8571,13.0,12.0,92.308,1.0,6.0,95.0,0.007
18,2018,58.2645,62.7907,,,,663.94,1.1,2500.48,9769.21,48.748,77.116,0.0,0.0,43.8596,49606.0,25.57,24.6,,,,62.5,14.0,13.0,92.857,1.0,6.0,99.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
