,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,29.434,17.931,,4882.67,,6877.0,2.7199999999999998,,,,,,,28.125,14795.0,,,41.0,1.0,,60.7143,12.0,9.0,75.0,1.0,18.0,75.0,
7,2007,21.5094,6.2069,,,,5329.0,,,,,,,,26.5625,15116.0,16.6,,,,,55.3571,12.0,10.0,83.333,1.0,17.0,75.0,
8,2008,27.1698,6.2069,,,,4633.0,,,,,,,,45.3125,15646.0,17.3,,,2.0,,60.7143,13.0,10.0,76.923,1.0,14.0,75.0,
9,2009,39.2453,27.5862,,,,5159.6,,,308761.0,5.455,71.524,,,46.875,15526.0,17.9,,,0.0,,60.7143,12.0,10.0,83.333,1.0,16.0,75.0,
10,2010,51.6981,44.1379,3239.07,,,4634.14,2.4699999999999998,21148.9,423053.0,8.437,64.301,,,56.25,15170.0,18.0,25.9,315.0,0.0,,66.0714,12.0,9.0,75.0,1.0,12.0,75.0,
11,2011,57.3585,51.0345,2849.45,,,4513.26,2.17,18962.801,381504.0,3.357,55.012,,,64.0625,14982.0,18.5,26.7,247.0,0.0,7.434,66.0714,12.0,9.0,75.0,1.0,11.0,75.0,
12,2012,58.8679,57.931,2787.42,,,4427.5,1.78,14650.6,318415.0,4.17,56.17,,,59.375,14526.0,19.2,27.7,162.0,0.0,7.9879999999999995,60.7143,12.0,9.0,75.0,1.0,11.0,75.0,
13,2013,67.5472,62.7586,2890.21,,,4554.84,1.9,15276.8,336628.0,7.91,58.94,,,70.3125,14653.0,20.07,29.4,157.0,0.0,7.95,76.7857,11.0,9.0,81.818,1.0,11.0,75.0,
14,2014,69.434,62.7586,2703.02,,,4242.48,1.6600000000000001,14390.2,351935.0,15.92,69.42,,,79.6875,14601.0,20.0,25.0,159.0,0.0,8.0,75.0,11.0,9.0,81.818,1.0,15.0,75.0,
15,2015,64.9057,62.7586,2715.43,,,4459.99,1.49,14467.5,330816.0,10.32,76.96,,,70.3125,13400.0,19.7,25.0,,0.0,9.96,64.2857,10.0,8.0,80.0,1.0,10.0,75.0,
16,2016,51.6981,48.2759,2719.0,,,4413.0,1.24,,14233.8,12.07,81.635,,,53.125,14941.0,21.0,26.0,,0.0,,58.9286,10.0,8.0,80.0,1.0,11.0,75.0,
17,2017,46.4151,41.3793,2673.0,,,4335.0,1.16,,13666.0,9.616,,,,46.875,15255.0,21.0,30.0,,0.0,12.6,58.9286,12.0,10.0,83.333,1.0,9.0,75.0,
18,2018,46.4151,39.3103,2743.0,,,4308.0,1.37,,12719.6,9.398,,,,51.5625,14955.0,21.0,31.0,,0.0,,58.9286,10.0,9.0,90.0,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
