,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.8491,7.5862,,,,,,,,,,,,3.125,17275.0,,,,,,51.7857,12.0,10.0,83.333,1.0,7.0,75.0,
8,2008,15.8491,7.5862,,,,,,,,,,,,3.125,18291.0,,,,,,51.7857,11.0,9.0,81.82,1.0,7.0,75.0,
9,2009,15.8491,7.5862,,,,,,,,,,,,3.125,19244.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
10,2010,16.9811,7.5862,,,,,,,,,,,,7.8125,20117.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
11,2011,28.3019,24.8276,,,,7300.0,13.812,,,,,,0.02,12.5,19930.0,,,,,17.0,55.3571,13.0,11.0,84.615,1.0,7.0,75.0,
12,2012,32.8302,21.3793,,,,8700.0,35.724,,,,,,2.06,39.0625,16593.0,32.0,,,,19.2,55.3571,12.0,10.0,83.333,1.0,10.0,75.0,
13,2013,36.2264,21.3793,,,,7700.0,9.998,,,,,,0.011,45.3125,13677.0,33.0,,,,19.7,64.2857,12.0,10.0,83.333,1.0,9.0,75.0,0.606
14,2014,39.6226,27.5862,,,,4000.0,0.166,,,16.434,,,0.004,45.3125,13690.0,32.0,,,,20.0,64.2857,11.0,10.0,90.909,1.0,11.0,75.0,0.638
15,2015,42.2642,27.5862,,,,4100.0,0.179,,,8.909,,,0.001,51.5625,12768.0,32.0,,,1.0,20.0,69.6429,9.0,8.0,88.889,1.0,9.0,75.0,0.87
16,2016,42.2642,27.5862,,,,4000.0,0.158,,,16.826999999999998,,,3.003,51.5625,12390.0,30.0,,,2.0,20.0,69.6429,11.0,10.0,90.909,1.0,11.0,75.0,0.988
17,2017,46.4151,33.1034,,,,3200.0,0.154,,,23.875,,,0.021,56.25,12521.0,30.0,,,0.0,21.8,69.6429,11.0,10.0,90.909,1.0,10.0,95.0,1.009
18,2018,47.5472,35.1724,,,,2200.0,0.148,,,8.169,,,0.484,56.25,12574.0,31.0,,,0.0,17.0,69.6429,11.0,10.0,90.909,1.0,8.0,90.0,4.692
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
