,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,20.2479,11.6279,,,,103.605,,,,,,,,8.7719,32000.0,,,,,,51.7857,12.0,7.0,58.333,3.0,6.0,96.4,
9,2009,25.6198,17.0543,,,,99.676,,,,,,,,19.2982,31300.0,,,,,,51.7857,13.0,7.0,53.846,3.0,9.0,94.27,
10,2010,36.7769,30.2326,,,,95.735,,,,,,,,31.5789,31200.0,,,,,,57.1429,14.0,8.0,57.143,3.0,7.0,96.95,
11,2011,34.2975,27.907,,,,96.51,,,,,,,,31.5789,32300.0,,,,,,51.7857,15.0,8.0,53.333,3.0,5.0,98.0,
12,2012,30.5785,18.6047,,,,,,,,,,,,31.5789,38500.0,,,,,,57.1429,15.0,9.0,60.0,3.0,5.0,95.0,
13,2013,35.5372,34.1085,,,,91.197,,,,0.043,15.04,,,17.5439,40200.0,,,,,,57.1429,15.0,9.0,60.0,3.0,5.0,97.0,
14,2014,36.7769,34.1085,,,,94.139,,,,0.051,16.639,,,22.807,42400.0,,,,,,57.1429,15.0,9.0,60.0,3.0,6.0,90.0,
15,2015,32.2314,23.2558,,,,,,119.957,1766.05,,16.426,,,28.0702,44000.0,84.7,,185.0,,,57.1429,15.0,9.0,60.0,3.0,6.0,90.0,
16,2016,37.6033,31.0078,,,,146.794,,296.902,1914.52,,18.648,,,33.3333,46000.0,84.3,44.4,,,,57.1429,15.0,9.0,60.0,3.0,5.0,90.0,
17,2017,48.3471,46.5116,,,,95.4,,321.9,1481.26,1.1,23.3,,,49.1228,79126.0,84.1,44.2,173.0,0.0,52.6,51.7857,15.0,9.0,60.0,3.0,6.0,90.0,
18,2018,50.8264,44.186,,,,96.1,,326.2,1614.26,0.9,26.2,,,54.386,76506.0,85.0,45.7,145.0,0.0,44.9,62.5,17.0,11.0,64.706,3.0,5.0,95.0,0.0
19,2019,54.5455,49.6124,,,,94.3,,316.0,1600.0,1.0,32.1,0.0,0.0,52.6316,76600.0,84.3,46.3,155.0,0.0,45.7,67.8571,16.0,10.0,62.5,3.0,5.0,95.0,0.0
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
