,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,21.9008,8.5271,,,,,,,,,,,,19.2982,10800.0,,,,,,55.3571,12.0,11.0,91.667,3.0,7.0,75.0,
8,2008,22.7273,8.5271,,,,,,,,,,,,22.807,10500.0,,,,,,55.3571,12.0,10.0,83.333,3.0,7.0,75.0,
9,2009,25.2066,10.8527,,,,,,,,,,,,22.807,10000.0,,,,,,60.7143,12.0,10.0,83.333,3.0,5.0,75.0,
10,2010,43.3884,26.3566,,,,6710.0,10.359,24108.0,,,,,0.986,54.386,9898.0,25.6,,7.0,,,71.4286,11.0,9.0,81.818,3.0,7.0,75.0,
11,2011,35.124,17.8295,,,,,10.889,,,,,,,38.5965,10000.0,,,4.0,,,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,
12,2012,36.3636,18.6047,,,,7190.0,,,,,,,,38.5965,13500.0,,,7.0,,,75.0,12.0,11.0,91.667,1.0,7.0,75.0,
13,2013,49.1736,34.1085,,,,6055.99,11.265,24108.0,,,,,0.648,57.8947,13695.0,24.3,,9.0,,,75.0,13.0,11.0,84.615,1.0,6.0,75.0,
14,2014,54.5455,40.3101,,,,7580.0,11.452,25284.0,1365000.0,,,,0.055,66.6667,13981.0,24.5,,11.0,,,75.0,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,59.5041,51.938,,,,6727.49,10.922,32928.0,1357000.0,,,,0.09,66.6667,14939.0,24.9,,23.0,0.0,,69.6429,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,55.3719,51.938,,,,7600.0,10.301,40833.301,1105000.0,,,,0.085,54.386,14388.0,24.7,,18.0,0.0,,64.2857,12.0,11.0,91.667,1.0,5.0,75.0,
17,2017,58.6777,58.1395,6029.58,,,7500.0,8.396,27930.0,763900032.0,,,,0.066,49.1228,14474.0,24.5,,21.0,0.0,,69.6429,12.0,11.0,91.667,1.0,5.0,75.0,0.002
18,2018,57.8512,54.2636,5740.26,,,7400.0,7.335,31250.301,978160000.0,,,,0.181,54.386,14819.0,24.5,,,0.0,,69.6429,12.0,11.0,91.667,1.0,6.0,75.0,0.054
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
