,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,13.6364,,,,,,,,,,,,,3.5088,114200.0,,,,,,55.3571,13.0,10.0,76.923,1.0,9.0,75.0,
6,2006,13.6364,,,,,,,,,,,,,3.5088,127800.0,,,,,,55.3571,13.0,11.0,84.615,1.0,7.0,75.0,
7,2007,13.6364,,,,,,,,,,,,,3.5088,137700.0,,,,,,55.3571,12.0,10.0,83.333,1.0,11.0,75.0,
8,2008,23.9669,9.3023,,,,,,,,,,,,26.3158,140700.0,,,,,,55.3571,14.0,12.0,85.714,1.0,9.0,75.0,
9,2009,23.9669,9.3023,,,,,,,,,,,,26.3158,129000.0,,,,,,55.3571,15.0,12.0,80.0,1.0,9.0,75.0,
10,2010,23.9669,9.3023,,,,,,,,,,,,26.3158,127700.0,,,,,,55.3571,15.0,12.0,80.0,3.0,10.0,75.0,
11,2011,23.9669,9.3023,,,,,,,,,,,,26.3158,133200.0,,,,,,55.3571,13.0,10.0,76.923,3.0,9.0,75.0,
12,2012,23.9669,9.3023,,,,,,,,,,,,26.3158,134900.0,,,,,,55.3571,14.0,11.0,78.571,3.0,11.0,75.0,
13,2013,28.5124,10.8527,,,,,,,,,,,0.042,42.1053,131600.0,,,222.0,,33.1,55.3571,12.0,9.0,75.0,3.0,11.0,72.15,
14,2014,35.9504,22.4806,,,,970.948,,,5310.98,,,,0.006,42.1053,115100.0,,,209.0,,43.1,60.7143,13.0,11.0,84.615,3.0,11.0,75.0,0.088
15,2015,39.6694,29.4574,,,,753.967,,,4502.96,,,5.0,0.013,42.1053,110800.0,,,202.0,,35.7,60.7143,13.0,11.0,84.615,3.0,10.0,75.0,0.049
16,2016,39.6694,29.4574,,,,779.654,,,4028.18,,,3.0,0.003,42.1053,103500.0,,,137.0,,,60.7143,10.0,9.0,90.0,3.0,10.0,75.0,
17,2017,40.0826,30.2326,,,,627.278,,,3793.22,,,3.0,0.01,42.1053,81500.0,,,119.0,,,60.7143,10.0,9.0,90.0,3.0,8.0,75.0,
18,2018,40.9091,30.2326,,,,715.991,,,3598.53,,,2.0,0.011,42.1053,87500.0,,,138.0,,,64.2857,8.0,7.0,87.5,3.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,88000.0,,,,,,,10.0,9.0,90.0,3.0,9.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
