,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,27.9245,15.1724,,,,,,,,,,,,31.25,6189.0,27.5,,,,2.8,57.1429,12.0,11.0,91.667,1.0,14.0,98.0,
9,2009,24.1509,15.1724,,,,,,,,,,,,17.1875,6078.0,,,,,,55.3571,12.0,11.0,91.667,1.0,14.0,86.0,
10,2010,31.6981,25.5172,,,,,,,,1.745,5.912,,,25.0,6182.0,,,,,,55.3571,11.0,10.0,90.909,1.0,26.0,93.0,
11,2011,33.9623,27.5862,,,,,,,,0.695,11.446,0.0,0.0,25.0,6063.0,,,,,,60.7143,11.0,10.0,90.909,1.0,16.0,95.0,
12,2012,40.3774,31.0345,,,,,,,,2.046,36.875,1.0,0.003,43.75,8845.0,27.0,,,,4.6,60.7143,14.0,12.0,85.714,1.0,12.0,82.09,
13,2013,48.3019,42.069,1741.94,,,2596.68,,6487.72,,1.7349999999999999,54.334,1.0,0.007,43.75,8697.0,26.5,,,,5.0,69.6429,14.0,12.0,85.714,1.0,7.0,94.0,
14,2014,51.3208,45.5172,,,,2414.12,,6936.47,,2.555,75.748,4.0,,48.4375,8265.0,26.4,,,,4.8,69.6429,13.0,12.0,92.308,1.0,7.0,97.8,
15,2015,53.5849,51.7241,1372.47,,,2194.34,,6750.16,,2.136,40.477,8.0,0.015,48.4375,7943.0,26.4,,,,4.7,64.2857,12.0,11.0,91.667,1.0,7.0,98.8,
16,2016,54.717,53.7931,627.272,,,1537.48,,4169.37,161731.0,1.955,38.878,4.0,0.047,48.4375,7762.0,26.1,,,,5.1,64.2857,13.0,11.0,84.615,1.0,9.0,96.0,
17,2017,56.9811,56.5517,502.483,,,1255.97,,3169.98,145459.0,2.411,45.305,1.0,0.0,46.875,8084.0,26.15,,,0.0,,69.6429,12.0,11.0,91.667,1.0,8.0,94.0,
18,2018,55.0943,52.4138,89.88,,,812.237,,603.818,118860.0,3.074,26.106,5.0,0.0,48.4375,7998.0,26.3,27.27,,,,69.6429,11.0,10.0,90.909,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
