,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,917.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,930.0,,,,,,51.7857,10.0,8.0,80.0,3.0,9.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,938.0,,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,1039.0,,,,,,51.7857,7.0,5.0,71.429,3.0,4.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,1099.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,1144.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
13,2013,12.8099,,,,,,,,,,,,,3.5088,1173.0,,,,,,51.7857,10.0,8.0,80.0,1.0,19.0,75.0,
14,2014,12.8099,,,,,,,,,,,,,3.5088,1725.0,,,,,,51.7857,13.0,11.0,84.615,1.0,5.0,75.0,
15,2015,12.8099,,,,,,,,,,,,,3.5088,1806.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
16,2016,12.8099,,,,,,,,,,,,,3.5088,1799.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,75.0,
17,2017,16.5289,6.9767,,,,,,,,,,,,3.5088,1835.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,75.0,
18,2018,16.5289,6.9767,,,,,,,,,,,,3.5088,1826.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,1822.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
