,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.7193,,,,,,,,,,,,,3.3333,3757.0,,,,,,48.2143,12.0,8.0,66.67,3.0,21.0,75.0,
8,2008,12.7193,,,,,,,,,,,,,3.3333,3249.0,,,,,,48.2143,10.0,10.0,100.0,3.0,34.0,75.0,
9,2009,,,,,,,,,,,,,,,3084.0,,,,,,,12.0,9.0,75.0,3.0,53.0,75.0,
10,2010,12.7193,,,,,,,,,,,,,3.3333,2962.0,,,,,,48.2143,12.0,9.0,75.0,3.0,22.0,75.0,
11,2011,12.7193,,,,,,,,,,,,,3.3333,3200.0,,,,,,48.2143,9.0,8.0,88.889,3.0,16.0,75.0,
12,2012,12.7193,,,,,,,,,,,,,3.3333,3000.0,,,,,,48.2143,11.0,10.0,90.909,1.0,15.0,75.0,
13,2013,14.9123,,,,,,,,,,,,,8.3333,3000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,13.0,75.0,
14,2014,14.9123,,,,,,,,,,,,,8.3333,3221.0,,,,,,51.7857,11.0,10.0,90.909,1.0,13.0,75.0,
15,2015,14.9123,,,,,,,,,,,,,8.3333,3400.0,,,,,,51.7857,11.0,10.0,90.909,1.0,13.0,75.0,
16,2016,14.9123,,,,,,,,,,,,,8.3333,3600.0,,,,,,51.7857,12.0,10.0,83.333,1.0,19.0,75.0,
17,2017,14.9123,,,,,,,,,,,,,8.3333,3607.0,,,,,,51.7857,12.0,10.0,83.333,1.0,11.0,75.0,
18,2018,14.9123,,,,,,,,,,,,,8.3333,4000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,4122.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
