,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,16.5289,,,,,,,,,,,,,14.0351,59000.0,,,,,5.623,57.1429,10.0,9.0,90.0,3.0,11.0,97.0,0.0
6,2006,21.4876,9.3023,,,,920.0,,,,,,,,14.0351,60000.0,,,,,6.2620000000000005,57.1429,11.0,9.0,81.818,3.0,11.0,94.0,0.0
7,2007,23.9669,13.9535,,,,928.0,,,,,,,,14.0351,64000.0,,,,,6.962,57.1429,11.0,10.0,90.909,3.0,9.0,98.0,0.0
8,2008,28.9256,25.5814,,,,888.0,,1941.0,5080.0,,162.7,,,14.0351,75000.0,,,,,7.948,51.7857,12.0,11.0,91.667,3.0,11.0,96.0,
9,2009,31.405,27.907,,,,683.0,,1741.0,3836.0,,123.3,,,14.0351,70000.0,,,,,6.775,57.1429,13.0,12.0,92.308,3.0,9.0,96.0,
10,2010,42.1488,41.0853,,,,741.0,,1862.0,3989.0,4.0,159.0,,,19.2982,70000.0,,,,,7.31,67.8571,11.0,10.0,90.909,3.0,11.0,99.2,0.0
11,2011,50.0,44.9612,,,,762.0,,1936.0,4135.0,4.6,176.0,,,43.8596,73459.0,28.6,15.7,,,8.051,67.8571,11.0,10.0,90.909,1.0,11.0,97.2,0.0
12,2012,51.6529,48.062,,,,808.0,,2033.0,4755.0,,173.6,23.0,,43.8596,103504.0,30.1,16.0,,,8.739,67.8571,12.0,11.0,91.667,1.0,14.0,98.0,0.0
13,2013,45.8678,40.3101,,,,784.0,,2002.0,4495.0,,280.0,,,43.8596,101906.0,29.8,16.8,,,9.295,60.7143,12.0,11.0,91.667,1.0,4.0,96.0,
14,2014,46.6942,40.3101,,,,1029.0,,2617.0,5843.0,,302.4,,,43.8596,102227.0,29.8,17.0,,,9.8,64.2857,13.0,12.0,92.308,1.0,4.0,97.0,
15,2015,47.9339,40.3101,,,,1019.0,,2579.0,5246.0,,297.0,,,43.8596,97169.0,30.4,18.1,,,10.207,69.6429,14.0,11.0,78.571,1.0,5.0,95.0,
16,2016,51.2397,46.5116,,,,959.0,,2409.0,4834.0,,281.0,,,43.8596,95480.0,31.0,18.7,,,11.1,69.6429,14.0,12.0,85.714,1.0,4.0,95.0,
17,2017,51.6529,47.2868,150.519,,,891.167,,2408.82,4773.0,,189.1,,,43.8596,95696.0,31.3,19.2,,,11.4,69.6429,12.0,10.0,83.333,1.0,4.0,95.0,
18,2018,51.6529,47.2868,247.425,,,1178.89,,2947.85,4832.0,,224.0,,,43.8596,98775.0,32.0,19.2,,,12.0,69.6429,12.0,10.0,83.333,1.0,5.0,95.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
