,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,26.0377,12.4138,,,,,50.0,,,0.04,,,,31.25,14136.0,,,,1.0,,55.3571,15.0,13.0,86.667,1.0,9.0,85.0,
6,2006,27.5472,16.5517,,,,,35.091,,,0.042,,,,28.125,13814.0,,,,,,55.3571,12.0,10.0,83.333,1.0,10.0,85.0,
7,2007,38.8679,24.1379,,,,49400.0,43.454,,,0.062,,,,57.8125,14322.0,20.58,,,0.0,14.5,55.3571,12.0,11.0,91.667,1.0,15.0,75.0,
8,2008,39.6226,25.5172,,,,48891.301,45.727,,,0.046,,,,57.8125,14669.0,20.73,,,0.0,15.9,55.3571,12.0,11.0,91.667,1.0,14.0,75.0,
9,2009,47.9245,36.5517,29990.9,,,42866.801,36.636,42640.801,,0.054,,,,62.5,15181.0,20.48,,93.0,0.0,17.3,60.7143,12.0,11.0,91.667,1.0,15.0,75.0,0.02
10,2010,45.283,33.1034,33563.602,,,49400.0,42.364,,,0.027,,,,59.375,14958.0,20.35,,111.0,,17.2,60.7143,13.0,12.0,92.308,1.0,13.0,75.0,0.115
11,2011,47.5472,31.7241,,,,50700.0,42.818,,,0.028,,,0.003,57.8125,14682.0,20.25,,,2.0,16.5,76.7857,11.0,10.0,90.909,1.0,16.0,75.0,0.604
12,2012,46.4151,31.7241,,,,50200.0,39.0,,,0.049,,,1.567,62.5,14625.0,19.98,,,1.0,16.3,66.0714,11.0,10.0,90.909,1.0,15.0,75.0,
13,2013,45.6604,31.7241,,,,52000.0,34.454,,,0.054,,,0.013,54.6875,13808.0,18.88,,,0.0,15.2,71.4286,11.0,10.0,90.909,1.0,18.0,75.0,
14,2014,47.5472,35.1724,33545.5,,,39215.5,34.091,,,0.055,,,0.001,59.375,13393.0,19.0,,120.0,0.0,16.4,66.0714,11.0,10.0,90.909,1.0,11.0,75.0,
15,2015,47.9245,35.8621,31388.6,,,36961.398,36.56,,12086000.0,0.026,,,0.013,59.375,13579.0,20.0,,111.0,0.0,15.0,66.0714,13.0,12.0,92.308,1.0,14.0,96.0,
16,2016,46.7925,33.7931,34835.898,,,39190.0,36.469,,12778000.0,0.041,,,0.02,54.6875,13513.0,20.0,,,1.0,19.0,71.4286,11.0,10.0,90.909,1.0,14.0,97.0,0.143
17,2017,48.3019,36.5517,36100.0,,,36650.0,27.488,,11262000.0,0.04,,,0.603,54.6875,13504.0,19.43,,,0.0,17.5,71.4286,11.0,10.0,90.909,1.0,14.0,94.0,0.033
18,2018,49.434,36.5517,39900.0,,,40050.0,28.6,,11063000.0,0.026,,,0.034,59.375,13688.0,19.83,,,0.0,18.4,71.4286,9.0,8.0,88.889,1.0,16.0,93.0,0.153
19,2019,,,,,,,,,,,,,,,13000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
